# power spectrum of theta (div v)
# redshift z=1.305200
# k              Pk             sigma(k)       sigma(Pk)      count
  3.212440e-02   2.798496e-10   4.915339e-03   2.902409e-11   18
  5.615613e-02   9.788363e-10   5.945059e-03   4.423712e-11   62
  7.815808e-02   2.019995e-09   4.112744e-03   6.537651e-11   90
  9.898783e-02   2.677462e-09   6.490772e-03   6.956248e-11   170
  1.206652e-01   3.473623e-09   6.746473e-03   9.364443e-11   246
  1.418326e-01   4.799025e-09   6.431734e-03   1.187983e-10   338
  1.627221e-01   5.460774e-09   5.529486e-03   1.387119e-10   432
  1.842373e-01   6.752892e-09   5.664946e-03   1.603262e-10   578
  2.072002e-01   7.622361e-09   6.772075e-03   1.791671e-10   810
  2.303547e-01   8.207117e-09   6.480384e-03   1.963536e-10   950
  2.517847e-01   9.698313e-09   5.785063e-03   2.299760e-10   1002
  2.732112e-01   1.062628e-08   6.616244e-03   2.293272e-10   1334
  2.948935e-01   1.165040e-08   6.196170e-03   2.518032e-10   1410
  3.155343e-01   1.233177e-08   6.190496e-03   2.575919e-10   1652
  3.371087e-01   1.295332e-08   6.109282e-03   2.589785e-10   1974
  3.592470e-01   1.395638e-08   5.988009e-03   2.692159e-10   2234
  3.814465e-01   1.530769e-08   6.299517e-03   2.791586e-10   2554
  4.040079e-01   1.507598e-08   6.593104e-03   2.638916e-10   2950
  4.261031e-01   1.579517e-08   6.171339e-03   2.716047e-10   3042
  4.475593e-01   1.637711e-08   6.293558e-03   2.788232e-10   3422
  4.688647e-01   1.743475e-08   6.073955e-03   2.914623e-10   3618
  4.903170e-01   1.801190e-08   6.323437e-03   2.773802e-10   4172
  5.121345e-01   1.919805e-08   6.117225e-03   2.902907e-10   4470
  5.340670e-01   1.980338e-08   6.251277e-03   2.853165e-10   4970
  5.560786e-01   2.105567e-08   6.280253e-03   2.832175e-10   5334
  5.781031e-01   2.100941e-08   6.450693e-03   2.725240e-10   5810
  5.998654e-01   2.208774e-08   6.409345e-03   2.756552e-10   6114
  6.217707e-01   2.211376e-08   6.530951e-03   2.649693e-10   6782
  6.431254e-01   2.369574e-08   5.957963e-03   2.930378e-10   6684
  6.642909e-01   2.356169e-08   6.157953e-03   2.771012e-10   7574
  6.862389e-01   2.441097e-08   6.219599e-03   2.656737e-10   8154
  7.081165e-01   2.486411e-08   6.187604e-03   2.578042e-10   8618
  7.303591e-01   2.529147e-08   6.484699e-03   2.538682e-10   9494
  7.523947e-01   2.590751e-08   6.256015e-03   2.653369e-10   9618
  7.741349e-01   2.671776e-08   6.355473e-03   2.594796e-10   10306
  7.959832e-01   2.728072e-08   6.413480e-03   2.547534e-10   10942
  8.177624e-01   2.761096e-08   6.261913e-03   2.553541e-10   11452
  8.395216e-01   2.771570e-08   6.152107e-03   2.533062e-10   12046
  8.610922e-01   2.797550e-08   6.044835e-03   2.522416e-10   12522
  8.829136e-01   2.901138e-08   6.318016e-03   2.465607e-10   13562
  9.049170e-01   2.909354e-08   6.428896e-03   2.457059e-10   14182
  9.269487e-01   2.966210e-08   6.491323e-03   2.418523e-10   14986
  9.486001e-01   3.061419e-08   6.173884e-03   2.507804e-10   14982
  9.702086e-01   3.039008e-08   6.417981e-03   2.358353e-10   16388
  9.919845e-01   3.128344e-08   6.166571e-03   0.000000e+00   16626
  1.013613e+00   3.109903e-08   6.255647e-03   0.000000e+00   17678
  1.035416e+00   3.190500e-08   6.158740e-03   0.000000e+00   18354
  1.057131e+00   3.210345e-08   6.210828e-03   0.000000e+00   19034
  1.078922e+00   3.187394e-08   6.366064e-03   0.000000e+00   20142
  1.101075e+00   3.256097e-08   6.512142e-03   0.000000e+00   21386
  1.122981e+00   3.316250e-08   6.235641e-03   0.000000e+00   21318
  1.144701e+00   3.330108e-08   6.300582e-03   0.000000e+00   22676
  1.166585e+00   3.299051e-08   6.235939e-03   0.000000e+00   23322
  1.188296e+00   3.328253e-08   6.158201e-03   0.000000e+00   24134
  1.210051e+00   3.426321e-08   6.266818e-03   0.000000e+00   25146
  1.231844e+00   3.402190e-08   6.237302e-03   0.000000e+00   26030
  1.253522e+00   3.412529e-08   6.271636e-03   0.000000e+00   26674
  1.275438e+00   3.503951e-08   6.447348e-03   0.000000e+00   28570
  1.297190e+00   3.469954e-08   6.231011e-03   0.000000e+00   28224
  1.319017e+00   3.469843e-08   6.443381e-03   0.000000e+00   30626
  1.340851e+00   3.506037e-08   6.030021e-03   0.000000e+00   30158
  1.362345e+00   3.469219e-08   6.179225e-03   0.000000e+00   31674
  1.384205e+00   3.508697e-08   6.384316e-03   0.000000e+00   33306
  1.405955e+00   3.535580e-08   6.184302e-03   0.000000e+00   33422
  1.427691e+00   3.514421e-08   6.346094e-03   0.000000e+00   35298
  1.449762e+00   3.559027e-08   6.349318e-03   0.000000e+00   36650
  1.471642e+00   3.571140e-08   6.289296e-03   0.000000e+00   36992
  1.493506e+00   3.548431e-08   6.346513e-03   0.000000e+00   38730
  1.515377e+00   3.512444e-08   6.190955e-03   0.000000e+00   39246
  1.537115e+00   3.521440e-08   6.289857e-03   0.000000e+00   40466
  1.558745e+00   3.474528e-08   6.132384e-03   0.000000e+00   41170
  1.580541e+00   3.558774e-08   6.399137e-03   0.000000e+00   43534
