# power spectrum of velocity
# redshift z=1.106200
# k              Pk             sigma(k)       sigma(Pk)      count
  3.212440e-02   6.314247e-07   4.915339e-03   4.815044e-08   18
  5.615613e-02   7.479441e-07   5.945059e-03   2.543400e-08   62
  7.815808e-02   8.107456e-07   4.112744e-03   2.509729e-08   90
  9.898783e-02   6.727290e-07   6.490772e-03   1.830524e-08   170
  1.206652e-01   5.777390e-07   6.746473e-03   1.555388e-08   246
  1.418326e-01   5.819303e-07   6.431734e-03   1.499639e-08   338
  1.627221e-01   5.032831e-07   5.529486e-03   1.361555e-08   432
  1.842373e-01   4.886653e-07   5.664946e-03   1.257056e-08   578
  2.072002e-01   4.304474e-07   6.772075e-03   1.067612e-08   810
  2.303547e-01   3.753381e-07   6.480384e-03   9.542924e-09   950
  2.517847e-01   3.718598e-07   5.785063e-03   9.180501e-09   1002
  2.732112e-01   3.450707e-07   6.616244e-03   7.688019e-09   1334
  2.948935e-01   3.256419e-07   6.196170e-03   7.255110e-09   1410
  3.155343e-01   3.015849e-07   6.190496e-03   6.538099e-09   1652
  3.371087e-01   2.771311e-07   6.109282e-03   5.696075e-09   1974
  3.592470e-01   2.612837e-07   5.988009e-03   5.153213e-09   2234
  3.814465e-01   2.542617e-07   6.299517e-03   4.739393e-09   2554
  4.040079e-01   2.225671e-07   6.593104e-03   3.953810e-09   2950
  4.261031e-01   2.103149e-07   6.171339e-03   3.661073e-09   3042
  4.475593e-01   1.982794e-07   6.293558e-03   3.397054e-09   3422
  4.688647e-01   1.911061e-07   6.073955e-03   3.284805e-09   3618
  4.903170e-01   1.813892e-07   6.323437e-03   2.806518e-09   4172
  5.121345e-01   1.760086e-07   6.117225e-03   2.654014e-09   4470
  5.340670e-01   1.671746e-07   6.251277e-03   2.415225e-09   4970
  5.560786e-01   1.635666e-07   6.280253e-03   2.185733e-09   5334
  5.781031e-01   1.518823e-07   6.450693e-03   1.975630e-09   5810
  5.998654e-01   1.468671e-07   6.409345e-03   1.830742e-09   6114
  6.217707e-01   1.375988e-07   6.530951e-03   1.649896e-09   6782
  6.431254e-01   1.376352e-07   5.957963e-03   1.720484e-09   6684
  6.642909e-01   1.283250e-07   6.157953e-03   1.511719e-09   7574
  6.862389e-01   1.243070e-07   6.219599e-03   1.350764e-09   8154
  7.081165e-01   1.193794e-07   6.187604e-03   1.231392e-09   8618
  7.303591e-01   1.133602e-07   6.484699e-03   1.131101e-09   9494
  7.523947e-01   1.093676e-07   6.256015e-03   1.124088e-09   9618
  7.741349e-01   1.068739e-07   6.355473e-03   1.030965e-09   10306
  7.959832e-01   1.033212e-07   6.413480e-03   9.617184e-10   10942
  8.177624e-01   9.822632e-08   6.261913e-03   9.120544e-10   11452
  8.395216e-01   9.394638e-08   6.152107e-03   8.567499e-10   12046
  8.610922e-01   9.030688e-08   6.044835e-03   8.112509e-10   12522
