# power spectrum of velocity
# redshift z=2.003100
# k              Pk             sigma(k)       sigma(Pk)      count
  3.212440e-02   4.737321e-07   4.915339e-03   3.604067e-08   18
  5.615613e-02   5.640503e-07   5.945059e-03   1.849931e-08   62
  7.815808e-02   6.121125e-07   4.112744e-03   1.720942e-08   90
  9.898783e-02   5.150554e-07   6.490772e-03   1.173963e-08   170
  1.206652e-01   4.530398e-07   6.746473e-03   9.435857e-09   246
  1.418326e-01   4.536609e-07   6.431734e-03   9.320308e-09   338
  1.627221e-01   3.923044e-07   5.529486e-03   8.310926e-09   432
  1.842373e-01   3.798262e-07   5.664946e-03   7.600911e-09   578
  2.072002e-01   3.433873e-07   6.772075e-03   6.592304e-09   810
  2.303547e-01   2.996080e-07   6.480384e-03   6.028361e-09   950
  2.517847e-01   2.918403e-07   5.785063e-03   5.884406e-09   1002
  2.732112e-01   2.736673e-07   6.616244e-03   5.073587e-09   1334
  2.948935e-01   2.557067e-07   6.196170e-03   4.852345e-09   1410
  3.155343e-01   2.374299e-07   6.190496e-03   4.311171e-09   1652
  3.371087e-01   2.198720e-07   6.109282e-03   3.956509e-09   1974
  3.592470e-01   2.100417e-07   5.988009e-03   3.625193e-09   2234
  3.814465e-01   2.039751e-07   6.299517e-03   3.373945e-09   2554
  4.040079e-01   1.806836e-07   6.593104e-03   2.913459e-09   2950
  4.261031e-01   1.697528e-07   6.171339e-03   2.761223e-09   3042
  4.475593e-01   1.577771e-07   6.293558e-03   2.520715e-09   3422
  4.688647e-01   1.555321e-07   6.073955e-03   2.382941e-09   3618
  4.903170e-01   1.462138e-07   6.323437e-03   2.176050e-09   4172
  5.121345e-01   1.437086e-07   6.117225e-03   2.125723e-09   4470
  5.340670e-01   1.368179e-07   6.251277e-03   1.920265e-09   4970
  5.560786e-01   1.340476e-07   6.280253e-03   1.789742e-09   5334
  5.781031e-01   1.226045e-07   6.450693e-03   1.557655e-09   5810
  5.998654e-01   1.220222e-07   6.409345e-03   1.516146e-09   6114
  6.217707e-01   1.136392e-07   6.530951e-03   1.340024e-09   6782
  6.431254e-01   1.122611e-07   5.957963e-03   1.345673e-09   6684
  6.642909e-01   1.054885e-07   6.157953e-03   1.214433e-09   7574
  6.862389e-01   1.034951e-07   6.219599e-03   1.132859e-09   8154
  7.081165e-01   9.797084e-08   6.187604e-03   1.042010e-09   8618
  7.303591e-01   9.521643e-08   6.484699e-03   9.590759e-10   9494
  7.523947e-01   9.281933e-08   6.256015e-03   9.367194e-10   9618
  7.741349e-01   8.931112e-08   6.355473e-03   8.762375e-10   10306
  7.959832e-01   8.567968e-08   6.413480e-03   8.108498e-10   10942
