# power spectrum of velocity
# redshift z=0.892300
# k              Pk             sigma(k)       sigma(Pk)      count
  4.789006e-02   4.258525e-07   1.569186e-05   1.540510e-07   6
  6.772678e-02   1.086099e-06   0.000000e+00   2.492094e-07   12
  8.844750e-02   6.506652e-07   6.350197e-03   1.275795e-07   14
  1.121958e-01   6.407427e-07   5.110132e-03   6.712781e-08   48
  1.413226e-01   5.088868e-07   3.711993e-03   5.514417e-08   42
  1.551375e-01   3.909218e-07   3.695504e-03   5.080983e-08   48
  1.759035e-01   4.652429e-07   4.430317e-03   5.126580e-08   80
  1.993525e-01   4.662853e-07   3.439775e-03   4.021449e-08   90
  2.172926e-01   3.231686e-07   5.401395e-03   3.218923e-08   120
  2.427789e-01   3.634981e-07   4.539269e-03   2.472207e-08   158
  2.596594e-01   3.390615e-07   2.154172e-03   3.483776e-08   120
  2.799969e-01   3.082300e-07   4.814837e-03   2.055272e-08   186
  3.024673e-01   2.917957e-07   6.584405e-03   1.815451e-08   264
  3.207263e-01   3.173749e-07   3.554717e-03   2.297820e-08   168
  3.440233e-01   2.709673e-07   6.353114e-03   1.423885e-08   386
  3.635186e-01   2.052769e-07   3.844319e-03   1.418730e-08   192
  3.827000e-01   2.544790e-07   6.302989e-03   1.262778e-08   390
  4.042493e-01   1.995845e-07   6.599222e-03   1.014986e-08   396
  4.244941e-01   2.147545e-07   6.547168e-03   1.062133e-08   398
  4.467496e-01   1.844174e-07   6.417329e-03   7.122969e-09   576
  4.686509e-01   1.761320e-07   6.510439e-03   8.255495e-09   444
  4.878078e-01   2.005026e-07   5.874003e-03   7.758865e-09   590
  5.096214e-01   1.628046e-07   6.432479e-03   6.201784e-09   648
  5.308979e-01   1.585460e-07   5.692893e-03   6.493182e-09   654
  5.498012e-01   1.545244e-07   4.722042e-03   5.661649e-09   636
  5.709321e-01   1.483816e-07   7.079544e-03   5.143552e-09   830
  5.907593e-01   1.394058e-07   5.095999e-03   4.649126e-09   792
  6.110328e-01   1.385656e-07   5.241142e-03   5.184873e-09   804
