# power spectrum of omega (curl v)
# redshift z=1.194200
# k              Pk             sigma(k)       sigma(Pk)      count
  4.789006e-02   7.130739e-18   1.569186e-05   1.061689e-18   6
  6.772678e-02   6.785094e-17   0.000000e+00   1.058810e-17   12
  8.844750e-02   4.288290e-16   6.350197e-03   1.080086e-16   14
  1.121958e-01   8.034969e-16   5.110132e-03   8.508861e-17   48
  1.413226e-01   3.636585e-15   3.711993e-03   4.162021e-16   42
  1.551375e-01   7.673448e-15   3.695504e-03   6.161410e-16   48
  1.759035e-01   1.164912e-14   4.430317e-03   8.457804e-16   80
  1.993525e-01   2.772120e-14   3.439775e-03   1.719942e-15   90
  2.172926e-01   4.380292e-14   5.401395e-03   2.396767e-15   120
  2.427789e-01   9.432612e-14   4.539269e-03   5.463783e-15   158
  2.596594e-01   1.476685e-13   2.154172e-03   8.753433e-15   120
  2.799969e-01   1.769637e-13   4.814837e-03   1.071433e-14   186
  3.024673e-01   2.944403e-13   6.584405e-03   1.298962e-14   264
  3.207263e-01   4.091288e-13   3.554717e-03   2.212085e-14   168
  3.440233e-01   7.165460e-13   6.353114e-03   2.783611e-14   386
  3.635186e-01   8.297185e-13   3.844319e-03   3.565375e-14   192
  3.827000e-01   1.188965e-12   6.302989e-03   4.799156e-14   390
  4.042493e-01   1.572046e-12   6.599222e-03   5.291870e-14   396
  4.244941e-01   1.929039e-12   6.547168e-03   7.008995e-14   398
  4.467496e-01   3.135743e-12   6.417329e-03   9.709180e-14   576
  4.686509e-01   3.956190e-12   6.510439e-03   1.375390e-13   444
  4.878078e-01   4.556063e-12   5.874003e-03   1.396405e-13   590
  5.096214e-01   5.992905e-12   6.432479e-03   1.623926e-13   648
  5.308979e-01   7.178491e-12   5.692893e-03   2.038959e-13   654
  5.498012e-01   9.478925e-12   4.722042e-03   2.678536e-13   636
  5.709321e-01   1.048447e-11   7.079544e-03   2.619073e-13   830
  5.907593e-01   1.301824e-11   5.095999e-03   3.265258e-13   792
  6.110328e-01   1.443567e-11   5.241142e-03   3.576876e-13   804
  6.317957e-01   1.842893e-11   6.468770e-03   4.052775e-13   1038
  6.518970e-01   2.266299e-11   5.066866e-03   5.565684e-13   936
  6.736844e-01   2.614349e-11   5.920520e-03   5.612046e-13   1130
  6.934320e-01   2.863476e-11   5.498096e-03   6.457125e-13   1104
  7.151093e-01   3.464109e-11   6.116133e-03   7.087818e-13   1230
  7.349322e-01   3.939506e-11   6.212201e-03   7.511526e-13   1260
  7.550713e-01   4.692481e-11   5.367123e-03   9.658551e-13   1286
  7.778485e-01   5.310214e-11   6.513251e-03   8.891240e-13   1728
  7.994312e-01   6.032441e-11   5.758260e-03   1.186442e-12   1392
  8.199441e-01   6.774632e-11   5.472268e-03   1.199966e-12   1626
