# power spectrum of omega (curl v)
# redshift z=0.892300
# k              Pk             sigma(k)       sigma(Pk)      count
  4.789006e-02   1.783289e-17   1.569186e-05   1.191783e-18   6
  6.772678e-02   1.414978e-16   0.000000e+00   2.744179e-17   12
  8.844750e-02   8.583452e-16   6.350197e-03   1.962342e-16   14
  1.121958e-01   1.763505e-15   5.110132e-03   1.779430e-16   48
  1.413226e-01   6.993433e-15   3.711993e-03   6.941642e-16   42
  1.551375e-01   1.718539e-14   3.695504e-03   1.538687e-15   48
  1.759035e-01   2.462424e-14   4.430317e-03   1.688676e-15   80
  1.993525e-01   5.667085e-14   3.439775e-03   3.363676e-15   90
  2.172926e-01   8.733194e-14   5.401395e-03   4.905027e-15   120
  2.427789e-01   2.006544e-13   4.539269e-03   1.188011e-14   158
  2.596594e-01   3.027084e-13   2.154172e-03   1.940885e-14   120
  2.799969e-01   3.891613e-13   4.814837e-03   2.232227e-14   186
  3.024673e-01   6.220819e-13   6.584405e-03   2.566349e-14   264
  3.207263e-01   8.830808e-13   3.554717e-03   4.999196e-14   168
  3.440233e-01   1.547779e-12   6.353114e-03   6.370923e-14   386
  3.635186e-01   1.914813e-12   3.844319e-03   7.885626e-14   192
  3.827000e-01   2.597576e-12   6.302989e-03   1.018775e-13   390
  4.042493e-01   3.309268e-12   6.599222e-03   1.175218e-13   396
  4.244941e-01   4.319814e-12   6.547168e-03   1.641897e-13   398
  4.467496e-01   6.883132e-12   6.417329e-03   2.103905e-13   576
  4.686509e-01   8.462637e-12   6.510439e-03   3.080969e-13   444
  4.878078e-01   9.386495e-12   5.874003e-03   2.838494e-13   590
  5.096214e-01   1.279946e-11   6.432479e-03   3.645704e-13   648
  5.308979e-01   1.576356e-11   5.692893e-03   4.736802e-13   654
  5.498012e-01   2.044369e-11   4.722042e-03   6.069576e-13   636
  5.709321e-01   2.195772e-11   7.079544e-03   5.478255e-13   830
  5.907593e-01   2.739023e-11   5.095999e-03   7.198905e-13   792
  6.110328e-01   3.017914e-11   5.241142e-03   7.360158e-13   804
  6.317957e-01   3.952009e-11   6.468770e-03   8.437840e-13   1038
  6.518970e-01   4.620084e-11   5.066866e-03   1.142301e-12   936
  6.736844e-01   5.450855e-11   5.920520e-03   1.249239e-12   1130
  6.934320e-01   5.954721e-11   5.498096e-03   1.295211e-12   1104
  7.151093e-01   7.075237e-11   6.112917e-03   1.437402e-12   1230
  7.349322e-01   8.476455e-11   6.212201e-03   1.583762e-12   1260
  7.550713e-01   9.820859e-11   5.367123e-03   2.087044e-12   1286
  7.778485e-01   1.072534e-10   6.513251e-03   1.864760e-12   1728
  7.994312e-01   1.214607e-10   5.761882e-03   2.536729e-12   1392
  8.199443e-01   1.427288e-10   5.451671e-03   2.583993e-12   1626
  8.409694e-01   1.558027e-10   6.470306e-03   2.668518e-12   1760
  8.620805e-01   1.753060e-10   5.346546e-03   2.973922e-12   1686
  8.819823e-01   1.979481e-10   5.438430e-03   3.340378e-12   1812
  9.023318e-01   2.128692e-10   6.253163e-03   3.523380e-12   1862
  9.231285e-01   2.438460e-10   5.568747e-03   3.659918e-12   2160
  9.440529e-01   2.623050e-10   5.707255e-03   4.591171e-12   1956
  9.651054e-01   3.056798e-10   6.405607e-03   4.421930e-12   2454
  9.856496e-01   3.114707e-10   4.996224e-03   4.913933e-12   2048
  1.006269e+00   3.489351e-10   6.503570e-03   4.886632e-12   2538
  1.026621e+00   4.001774e-10   5.450501e-03   5.816058e-12   2400
  1.047192e+00   4.311260e-10   6.493922e-03   5.940086e-12   2526
  1.067717e+00   4.550283e-10   6.428646e-03   6.125221e-12   2856
  1.089126e+00   4.929049e-10   6.045743e-03   6.587715e-12   2804
