# power spectrum of delta
# redshift z=0.907500
# k              Pk             sigma(k)       sigma(Pk)      count
  5.034611e-02   1.565491e-02   1.649661e-05   5.955857e-03   6
  7.120015e-02   8.446486e-02   0.000000e+00   1.836834e-02   12
  9.298354e-02   9.054984e-02   6.675868e-03   1.615782e-02   14
  1.179498e-01   1.538990e-01   5.372206e-03   1.698473e-02   48
  1.485703e-01   1.993685e-01   3.902364e-03   2.242692e-02   42
  1.630938e-01   1.849560e-01   3.885028e-03   2.473611e-02   48
  1.849248e-01   2.691232e-01   4.657527e-03   2.768450e-02   80
  2.095764e-01   3.652950e-01   3.616184e-03   3.129893e-02   90
  2.284365e-01   3.322086e-01   5.678407e-03   3.311077e-02   120
  2.552299e-01   4.554628e-01   4.772066e-03   3.327860e-02   158
  2.729761e-01   5.176170e-01   2.264649e-03   5.373183e-02   120
  2.943566e-01   5.543912e-01   5.061767e-03   3.819128e-02   186
  3.179794e-01   6.424177e-01   6.922087e-03   3.774162e-02   264
  3.371748e-01   7.694232e-01   3.737021e-03   5.327376e-02   168
  3.616666e-01   8.227665e-01   6.678935e-03   4.530889e-02   386
  3.821617e-01   6.826649e-01   4.041476e-03   5.077855e-02   192
  4.023269e-01   1.019439e+00   6.626239e-03   5.081227e-02   390
  4.249813e-01   9.418248e-01   6.937664e-03   4.806278e-02   396
  4.462644e-01   1.072509e+00   6.882941e-03   5.428322e-02   398
  4.696612e-01   1.119814e+00   6.746443e-03   4.436815e-02   576
  4.926857e-01   1.083652e+00   6.844329e-03   5.226584e-02   444
  5.128251e-01   1.475554e+00   6.175253e-03   5.681214e-02   590
  5.357574e-01   1.451131e+00   6.762370e-03   5.411651e-02   648
  5.581250e-01   1.564727e+00   5.984853e-03   6.601686e-02   654
  5.779979e-01   1.615823e+00   4.964212e-03   6.110354e-02   636
  6.002125e-01   1.762878e+00   7.442619e-03   5.851351e-02   830
  6.210565e-01   1.932513e+00   5.357348e-03   6.501336e-02   792
  6.423697e-01   1.992055e+00   5.509935e-03   7.315593e-02   804
  6.641974e-01   2.282205e+00   6.800522e-03   7.591814e-02   1038
  6.853297e-01   2.197044e+00   5.326721e-03   7.010016e-02   936
  7.082344e-01   2.216918e+00   6.224155e-03   6.469181e-02   1130
  7.289948e-01   2.500438e+00   5.780067e-03   7.366123e-02   1104
  7.517839e-01   2.500036e+00   6.426420e-03   7.188148e-02   1230
  7.726234e-01   2.773238e+00   6.530794e-03   7.277992e-02   1260
  7.937952e-01   2.955485e+00   5.653835e-03   8.357197e-02   1286
  8.177406e-01   2.865588e+00   6.847285e-03   7.027244e-02   1728
  8.404302e-01   3.155500e+00   6.057382e-03   8.368693e-02   1392
  8.619952e-01   3.346261e+00   5.752915e-03   8.202332e-02   1626
  8.840987e-01   3.321878e+00   6.796772e-03   8.100075e-02   1760
  9.062925e-01   3.481436e+00   5.620745e-03   8.632722e-02   1686
  9.272150e-01   3.584265e+00   5.703314e-03   8.119244e-02   1812
  9.486081e-01   3.859712e+00   6.573858e-03   8.811616e-02   1862
  9.704714e-01   4.008290e+00   5.854341e-03   8.428460e-02   2160
  9.924689e-01   4.194044e+00   5.994222e-03   9.920774e-02   1956
  1.014601e+00   4.266481e+00   6.734120e-03   8.653975e-02   2454
  1.036199e+00   4.552450e+00   5.252456e-03   9.683179e-02   2048
  1.057875e+00   4.627202e+00   6.829703e-03   9.294162e-02   2538
  1.079272e+00   5.007807e+00   5.730031e-03   9.989941e-02   2400
  1.100898e+00   5.163629e+00   6.819514e-03   1.074632e-01   2526
  1.122475e+00   4.927806e+00   6.758341e-03   9.227670e-02   2856
  1.144982e+00   5.317635e+00   6.313559e-03   9.719899e-02   2804
  1.167211e+00   5.772758e+00   6.591905e-03   1.061761e-01   2958
  1.188366e+00   6.159947e+00   6.403105e-03   1.128951e-01   2976
  1.210691e+00   6.203810e+00   6.430049e-03   0.000000e+00   3194
  1.231592e+00   6.466747e+00   6.379307e-03   0.000000e+00   3120
  1.254232e+00   6.526240e+00   6.416195e-03   0.000000e+00   3606
  1.275838e+00   6.924407e+00   5.899826e-03   0.000000e+00   3276
  1.296888e+00   6.687576e+00   6.681751e-03   0.000000e+00   3600
  1.318543e+00   7.368826e+00   5.870609e-03   0.000000e+00   3638
  1.339390e+00   7.695802e+00   6.251833e-03   0.000000e+00   3744
  1.361944e+00   7.607138e+00   6.476647e-03   0.000000e+00   4170
  1.383503e+00   7.939090e+00   6.119119e-03   0.000000e+00   3984
  1.405462e+00   8.258873e+00   6.208231e-03   0.000000e+00   4334
  1.427130e+00   8.584317e+00   5.733355e-03   0.000000e+00   4284
  1.448526e+00   8.969929e+00   6.906785e-03   0.000000e+00   4374
  1.470898e+00   9.250868e+00   6.122207e-03   0.000000e+00   5016
  1.492933e+00   8.988488e+00   5.906933e-03   0.000000e+00   4580
  1.514897e+00   9.661842e+00   6.943843e-03   0.000000e+00   5142
  1.537303e+00   9.948112e+00   6.690172e-03   0.000000e+00   5184
  1.559241e+00   1.015416e+01   5.252199e-03   0.000000e+00   5058
  1.580321e+00   1.015144e+01   6.152838e-03   0.000000e+00   5384
  1.602863e+00   1.031484e+01   7.039064e-03   0.000000e+00   5622
  1.624607e+00   1.033097e+01   5.915039e-03   0.000000e+00   5736
  1.646260e+00   1.122312e+01   5.319725e-03   0.000000e+00   5596
  1.668015e+00   1.139671e+01   6.689023e-03   0.000000e+00   6070
  1.689591e+00   1.158235e+01   5.173212e-03   0.000000e+00   6096
  1.712103e+00   1.144210e+01   6.448186e-03   0.000000e+00   6474
  1.732930e+00   1.241622e+01   6.165185e-03   0.000000e+00   6024
  1.755205e+00   1.203550e+01   6.205512e-03   0.000000e+00   7070
  1.777274e+00   1.297296e+01   5.055694e-03   0.000000e+00   6516
  1.798442e+00   1.292899e+01   6.248973e-03   0.000000e+00   6936
  1.820539e+00   1.332581e+01   6.184627e-03   0.000000e+00   7110
  1.841915e+00   1.369786e+01   4.530223e-03   0.000000e+00   7244
  1.864527e+00   1.412331e+01   6.734559e-03   0.000000e+00   7878
  1.886428e+00   1.420117e+01   6.507843e-03   0.000000e+00   7344
  1.907636e+00   1.453482e+01   6.787627e-03   0.000000e+00   7694
  1.929732e+00   1.490102e+01   6.494024e-03   0.000000e+00   8412
  1.951920e+00   1.499482e+01   6.802081e-03   0.000000e+00   7920
  1.973009e+00   1.541142e+01   5.694837e-03   0.000000e+00   8118
  1.994475e+00   1.549451e+01   6.628308e-03   0.000000e+00   8548
  2.016313e+00   1.600804e+01   6.745298e-03   0.000000e+00   8710
  2.037968e+00   1.642076e+01   5.834439e-03   0.000000e+00   8928
  2.060198e+00   1.692767e+01   6.484053e-03   0.000000e+00   9186
  2.081524e+00   1.708258e+01   7.045286e-03   0.000000e+00   9200
  2.103507e+00   1.686541e+01   6.034356e-03   0.000000e+00   9438
  2.124939e+00   1.706886e+01   8.385889e-03   0.000000e+00   9564
  2.146967e+00   1.704517e+01   6.464327e-03   0.000000e+00   10296
  2.169518e+00   1.773590e+01   5.703385e-03   0.000000e+00   10126
  2.190644e+00   1.806174e+01   7.075913e-03   0.000000e+00   10024
  2.213114e+00   1.846260e+01   4.953969e-03   0.000000e+00   11082
  2.235177e+00   1.835243e+01   7.644461e-03   0.000000e+00   10632
  2.256740e+00   1.934592e+01   5.530495e-03   0.000000e+00   10734
  2.278524e+00   1.875768e+01   6.802923e-03   0.000000e+00   11276
  2.300301e+00   1.929555e+01   6.042716e-03   0.000000e+00   11352
  2.322279e+00   1.953084e+01   6.432406e-03   0.000000e+00   11550
  2.343854e+00   2.010570e+01   5.745533e-03   0.000000e+00   11772
  2.365747e+00   2.003986e+01   7.463597e-03   0.000000e+00   12038
  2.387372e+00   2.136382e+01   9.143380e-03   0.000000e+00   12096
  2.409296e+00   2.071026e+01   7.323510e-03   0.000000e+00   12582
  2.430977e+00   2.100427e+01   2.304705e-03   0.000000e+00   12620
  2.453158e+00   2.107770e+01   7.654188e-03   0.000000e+00   13320
  2.474864e+00   2.191957e+01   7.018943e-03   0.000000e+00   12654
  2.496156e+00   2.201748e+01   1.377608e-03   0.000000e+00   13236
  2.517766e+00   2.224521e+01   1.003223e-02   0.000000e+00   13438
  2.539602e+00   2.232107e+01   9.803999e-03   0.000000e+00   14344
  2.562230e+00   2.272992e+01   6.112849e-03   0.000000e+00   14226
  2.583610e+00   2.308374e+01   4.971408e-03   0.000000e+00   14088
