# power spectrum of theta (div v)
# redshift z=1.903400
# k              Pk             sigma(k)       sigma(Pk)      count
  5.034611e-02   3.408641e-10   1.649661e-05   1.236281e-10   6
  7.120015e-02   1.775045e-09   0.000000e+00   4.023669e-10   12
  9.298354e-02   1.912764e-09   6.675868e-03   3.682616e-10   14
  1.179498e-01   2.929033e-09   5.372206e-03   3.342430e-10   48
  1.485703e-01   3.737636e-09   3.902364e-03   4.171027e-10   42
  1.630938e-01   3.504231e-09   3.885028e-03   4.716226e-10   48
  1.849248e-01   5.100150e-09   4.657527e-03   5.510335e-10   80
  2.095764e-01   6.985347e-09   3.616184e-03   5.845281e-10   90
  2.284365e-01   5.969052e-09   5.678407e-03   6.109963e-10   120
  2.552299e-01   8.364334e-09   4.772066e-03   5.736052e-10   158
  2.729761e-01   8.519748e-09   2.264649e-03   8.818913e-10   120
  2.943566e-01   9.282843e-09   5.061767e-03   6.384854e-10   186
  3.179794e-01   1.031091e-08   6.922087e-03   6.459500e-10   264
  3.371748e-01   1.253465e-08   3.737021e-03   9.291630e-10   168
  3.616666e-01   1.236562e-08   6.678935e-03   6.418910e-10   386
  3.821617e-01   1.031242e-08   4.041476e-03   6.723845e-10   192
  4.023269e-01   1.379841e-08   6.626239e-03   6.426760e-10   390
  4.249813e-01   1.167681e-08   6.937664e-03   6.081271e-10   396
  4.462644e-01   1.499922e-08   6.882941e-03   7.658076e-10   398
  4.696612e-01   1.478023e-08   6.746443e-03   5.907378e-10   576
  4.926857e-01   1.591310e-08   6.844329e-03   7.640620e-10   444
  5.128251e-01   1.842217e-08   6.175253e-03   7.188656e-10   590
  5.357574e-01   1.720767e-08   6.762370e-03   6.919021e-10   648
  5.581250e-01   1.796185e-08   5.984853e-03   7.354417e-10   654
  5.779979e-01   1.889658e-08   4.964212e-03   7.009799e-10   636
  6.002125e-01   1.866340e-08   7.442619e-03   6.525210e-10   830
  6.210565e-01   1.925014e-08   5.357348e-03   6.417668e-10   792
  6.423697e-01   2.051764e-08   5.509935e-03   7.570826e-10   804
  6.641974e-01   2.049518e-08   6.800522e-03   6.893315e-10   1038
  6.853297e-01   2.149554e-08   5.326721e-03   6.826069e-10   936
  7.082344e-01   2.137960e-08   6.224155e-03   6.037285e-10   1130
  7.289948e-01   2.226524e-08   5.780067e-03   6.709300e-10   1104
  7.517839e-01   2.358927e-08   6.426420e-03   6.899195e-10   1230
  7.726234e-01   2.492106e-08   6.530794e-03   7.076507e-10   1260
  7.937952e-01   2.389818e-08   5.649419e-03   6.531742e-10   1286
  8.177406e-01   2.319077e-08   6.847285e-03   5.629075e-10   1728
  8.404302e-01   2.526125e-08   6.057382e-03   6.887495e-10   1392
  8.619953e-01   2.517439e-08   5.731261e-03   6.352461e-10   1626
  8.840987e-01   2.513080e-08   6.802137e-03   6.010749e-10   1760
  9.062925e-01   2.548264e-08   5.620745e-03   6.082499e-10   1686
  9.272150e-01   2.538853e-08   5.717340e-03   6.042107e-10   1812
  9.486081e-01   2.650489e-08   6.573858e-03   5.953451e-10   1862
  9.704713e-01   2.656730e-08   5.863962e-03   5.633582e-10   2160
  9.924689e-01   2.772542e-08   5.994222e-03   6.731253e-10   1956
  1.014601e+00   2.703782e-08   6.734120e-03   5.421617e-10   2454
  1.036199e+00   3.010116e-08   5.252456e-03   6.563242e-10   2048
  1.057875e+00   2.901971e-08   6.837107e-03   5.912829e-10   2538
  1.079272e+00   3.011593e-08   5.730031e-03   6.126697e-10   2400
  1.100898e+00   3.004688e-08   6.826964e-03   5.974821e-10   2526
  1.122475e+00   3.004103e-08   6.758341e-03   5.904659e-10   2856
  1.144982e+00   3.026097e-08   6.355800e-03   5.851909e-10   2804
  1.167211e+00   3.011060e-08   6.591905e-03   5.418238e-10   2958
  1.188366e+00   3.131763e-08   6.403105e-03   5.495722e-10   2976
  1.210691e+00   3.079629e-08   6.397896e-03   5.453621e-10   3194
  1.231592e+00   3.263171e-08   6.362345e-03   5.713268e-10   3120
  1.254232e+00   3.168602e-08   6.455408e-03   5.217490e-10   3606
  1.275838e+00   3.147149e-08   5.916416e-03   5.651683e-10   3276
  1.296888e+00   3.204678e-08   6.681751e-03   5.231296e-10   3600
  1.318543e+00   3.266807e-08   5.858571e-03   5.179503e-10   3638
  1.339390e+00   3.413610e-08   6.251833e-03   5.449189e-10   3744
  1.361944e+00   3.394898e-08   6.476647e-03   5.307856e-10   4170
  1.383503e+00   3.269980e-08   6.140152e-03   5.105259e-10   3984
  1.405462e+00   3.417832e-08   6.217770e-03   5.211474e-10   4334
  1.427130e+00   3.282960e-08   5.733355e-03   4.949685e-10   4284
  1.448526e+00   3.419323e-08   6.874868e-03   5.244120e-10   4374
  1.470898e+00   3.381435e-08   6.138910e-03   4.755232e-10   5016
  1.492933e+00   3.514151e-08   5.906933e-03   5.296827e-10   4580
  1.514897e+00   3.482308e-08   6.943843e-03   4.931658e-10   5142
  1.537303e+00   3.558946e-08   6.690172e-03   5.056056e-10   5184
  1.559241e+00   3.502403e-08   5.201302e-03   4.887475e-10   5058
  1.580321e+00   3.595608e-08   6.199842e-03   4.740301e-10   5384
  1.602863e+00   3.542901e-08   7.076790e-03   4.687046e-10   5622
  1.624607e+00   3.521039e-08   5.930158e-03   4.591403e-10   5736
  1.646260e+00   3.574909e-08   5.354122e-03   4.750610e-10   5596
  1.668015e+00   3.605791e-08   6.723082e-03   4.674411e-10   6070
  1.689591e+00   3.636117e-08   5.173212e-03   4.546538e-10   6096
  1.712103e+00   3.627525e-08   6.376470e-03   4.474036e-10   6474
  1.732930e+00   3.567938e-08   6.221352e-03   4.512163e-10   6024
  1.755205e+00   3.528652e-08   6.201795e-03   4.218964e-10   7070
  1.777274e+00   3.676039e-08   5.055694e-03   4.530992e-10   6516
  1.798442e+00   3.634614e-08   6.276905e-03   4.429612e-10   6936
  1.820539e+00   3.567737e-08   6.207945e-03   4.228606e-10   7110
  1.841914e+00   3.626742e-08   4.604510e-03   4.365146e-10   7244
  1.864527e+00   3.702636e-08   6.714394e-03   4.191449e-10   7878
