# power spectrum of theta (div v)
# redshift z=0.610200
# k              Pk             sigma(k)       sigma(Pk)      count
  5.034611e-02   5.216506e-10   1.649661e-05   1.884378e-10   6
  7.120015e-02   2.630379e-09   0.000000e+00   6.069898e-10   12
  9.298354e-02   2.607336e-09   6.675868e-03   4.853724e-10   14
  1.179498e-01   4.176008e-09   5.372206e-03   4.404867e-10   48
  1.485703e-01   5.429566e-09   3.902364e-03   6.073092e-10   42
  1.630938e-01   4.938245e-09   3.885028e-03   6.460059e-10   48
  1.849248e-01   7.386324e-09   4.657527e-03   7.573717e-10   80
  2.095764e-01   9.500160e-09   3.616184e-03   8.355288e-10   90
  2.284365e-01   7.925675e-09   5.678407e-03   7.850128e-10   120
  2.552299e-01   1.084313e-08   4.772066e-03   7.423635e-10   158
  2.729761e-01   1.165742e-08   2.264649e-03   1.190823e-09   120
  2.943566e-01   1.223057e-08   5.061767e-03   8.031367e-10   186
  3.179794e-01   1.342591e-08   6.922087e-03   8.512845e-10   264
  3.371748e-01   1.648859e-08   3.737021e-03   1.189137e-09   168
  3.616666e-01   1.594995e-08   6.678935e-03   8.212044e-10   386
  3.821617e-01   1.399037e-08   4.041476e-03   1.007847e-09   192
  4.023269e-01   1.881111e-08   6.626239e-03   9.661464e-10   390
  4.249813e-01   1.681265e-08   6.937664e-03   8.228749e-10   396
  4.462644e-01   1.924107e-08   6.882941e-03   9.224650e-10   398
  4.696612e-01   1.871042e-08   6.746443e-03   7.253696e-10   576
  4.926857e-01   1.917450e-08   6.844329e-03   8.863987e-10   444
  5.128251e-01   2.372315e-08   6.175253e-03   8.942908e-10   590
  5.357574e-01   2.073863e-08   6.762370e-03   8.107870e-10   648
  5.581250e-01   2.205685e-08   5.984853e-03   8.819292e-10   654
  5.779979e-01   2.279960e-08   4.964212e-03   8.353150e-10   636
  6.002125e-01   2.403553e-08   7.442619e-03   8.312889e-10   830
  6.210565e-01   2.348282e-08   5.357348e-03   7.768793e-10   792
  6.423697e-01   2.488209e-08   5.509935e-03   9.053249e-10   804
  6.641974e-01   2.731479e-08   6.800522e-03   9.503381e-10   1038
  6.853297e-01   2.457671e-08   5.326721e-03   7.796878e-10   936
  7.082344e-01   2.514425e-08   6.224155e-03   7.715338e-10   1130
  7.289948e-01   2.579826e-08   5.780067e-03   7.843901e-10   1104
  7.517839e-01   2.624608e-08   6.426420e-03   7.638551e-10   1230
  7.726234e-01   2.697163e-08   6.530794e-03   6.986889e-10   1260
  7.937953e-01   2.783028e-08   5.642377e-03   8.061204e-10   1286
  8.177406e-01   2.782657e-08   6.847285e-03   6.525796e-10   1728
  8.404302e-01   2.921668e-08   6.057382e-03   7.680999e-10   1392
  8.619953e-01   2.904405e-08   5.738147e-03   7.401583e-10   1626
  8.840987e-01   2.909535e-08   6.802137e-03   6.861568e-10   1760
  9.062925e-01   2.924886e-08   5.620745e-03   6.939617e-10   1686
  9.272150e-01   2.773528e-08   5.717340e-03   6.033096e-10   1812
  9.486082e-01   2.939954e-08   6.562310e-03   6.986886e-10   1862
  9.704713e-01   2.861592e-08   5.858890e-03   5.768396e-10   2160
  9.924688e-01   2.953456e-08   5.999953e-03   6.888892e-10   1956
  1.014601e+00   2.937024e-08   6.734120e-03   5.944290e-10   2454
  1.036199e+00   2.974426e-08   5.252456e-03   6.502099e-10   2048
  1.057875e+00   3.061074e-08   6.849039e-03   6.071224e-10   2538
  1.079272e+00   2.956151e-08   5.730031e-03   5.995430e-10   2400
  1.100898e+00   2.956266e-08   6.826964e-03   6.002844e-10   2526
  1.122475e+00   2.594067e-08   6.758341e-03   4.833553e-10   2856
  1.144982e+00   2.947913e-08   6.327481e-03   5.732908e-10   2804
  1.167211e+00   3.065963e-08   6.591905e-03   5.805296e-10   2958
  1.188366e+00   3.135803e-08   6.368449e-03   5.622354e-10   2976
  1.210691e+00   2.895943e-08   6.397896e-03   5.028931e-10   3194
  1.231592e+00   2.983137e-08   6.379307e-03   5.283422e-10   3120
  1.254231e+00   2.867967e-08   6.491404e-03   4.565801e-10   3606
  1.275838e+00   2.959023e-08   5.913098e-03   5.010003e-10   3276
  1.296888e+00   2.851881e-08   6.681751e-03   4.581194e-10   3600
  1.318543e+00   2.917667e-08   5.858571e-03   4.935713e-10   3638
  1.339390e+00   2.935339e-08   6.251833e-03   4.724474e-10   3744
  1.361944e+00   2.777687e-08   6.448564e-03   4.349887e-10   4170
  1.383503e+00   2.774858e-08   6.119119e-03   4.194124e-10   3984
  1.405462e+00   2.854861e-08   6.244211e-03   4.348195e-10   4334
  1.427130e+00   2.793063e-08   5.733355e-03   4.396962e-10   4284
  1.448526e+00   2.803257e-08   6.874868e-03   4.250500e-10   4374
  1.470898e+00   2.746599e-08   6.122207e-03   3.870419e-10   5016
  1.492933e+00   2.714430e-08   5.940795e-03   4.067550e-10   4580
  1.514897e+00   2.833157e-08   6.969640e-03   3.948971e-10   5142
  1.537303e+00   2.866103e-08   6.675345e-03   4.041380e-10   5184
  1.559241e+00   2.679228e-08   5.220789e-03   3.767737e-10   5058
  1.580321e+00   2.719369e-08   6.152838e-03   3.754347e-10   5384
  1.602863e+00   2.737367e-08   7.076790e-03   3.712154e-10   5622
  1.624607e+00   2.618565e-08   5.915039e-03   3.406890e-10   5736
  1.646260e+00   2.722907e-08   5.319725e-03   3.647195e-10   5596
  1.668015e+00   2.659876e-08   6.676360e-03   3.445463e-10   6070
  1.689591e+00   2.568455e-08   5.216804e-03   3.306258e-10   6096
  1.712103e+00   2.520490e-08   6.423530e-03   3.164613e-10   6474
  1.732930e+00   2.632993e-08   6.165185e-03   3.414184e-10   6024
  1.755205e+00   2.556401e-08   6.178322e-03   3.083140e-10   7070
  1.777274e+00   2.604415e-08   5.086783e-03   3.253213e-10   6516
  1.798442e+00   2.580918e-08   6.164421e-03   3.096518e-10   6936
  1.820539e+00   2.472175e-08   6.161220e-03   2.950314e-10   7110
  1.841914e+00   2.545611e-08   4.604510e-03   3.091440e-10   7244
  1.864527e+00   2.501979e-08   6.714394e-03   2.902730e-10   7878
  1.886428e+00   2.552088e-08   6.464711e-03   2.960118e-10   7344
  1.907636e+00   2.448052e-08   6.745609e-03   2.819489e-10   7694
  1.929732e+00   2.466127e-08   6.494024e-03   2.636096e-10   8412
  1.951920e+00   2.430832e-08   6.743310e-03   2.740473e-10   7920
  1.973009e+00   2.453760e-08   5.783436e-03   2.775223e-10   8118
  1.994475e+00   2.427407e-08   6.628308e-03   2.634985e-10   8548
  2.016313e+00   2.398054e-08   6.745298e-03   2.535986e-10   8710
  2.037968e+00   2.360787e-08   5.873749e-03   2.461013e-10   8928
  2.060199e+00   2.431158e-08   6.359816e-03   2.543633e-10   9186
  2.081524e+00   2.366414e-08   6.960096e-03   2.408702e-10   9200
  2.103507e+00   2.495094e-08   5.998171e-03   2.542747e-10   9438
  2.124939e+00   2.373823e-08   8.429660e-03   2.430997e-10   9564
  2.146967e+00   2.361798e-08   6.464327e-03   2.291254e-10   10296
  2.169518e+00   2.302053e-08   5.703385e-03   2.265865e-10   10126
  2.190644e+00   2.331136e-08   7.004534e-03   2.372401e-10   10024
  2.213114e+00   2.401853e-08   4.953969e-03   2.330192e-10   11082
  2.235177e+00   2.343521e-08   7.702671e-03   2.254912e-10   10632
  2.256740e+00   2.371439e-08   5.599285e-03   2.314728e-10   10734
  2.278524e+00   2.384904e-08   6.776087e-03   2.221465e-10   11276
  2.300301e+00   2.337433e-08   6.200297e-03   2.234936e-10   11352
  2.322280e+00   2.344771e-08   6.313623e-03   2.156402e-10   11550
  2.343854e+00   2.355033e-08   5.775830e-03   2.190938e-10   11772
  2.365747e+00   2.364787e-08   7.401088e-03   2.186817e-10   12038
  2.387372e+00   2.366326e-08   9.143380e-03   2.196985e-10   12096
  2.409296e+00   2.435057e-08   7.367969e-03   2.156976e-10   12582
  2.430977e+00   2.361308e-08   2.113344e-03   2.070157e-10   12620
  2.453157e+00   2.400475e-08   7.638656e-03   2.094297e-10   13320
  2.474864e+00   2.396485e-08   7.018943e-03   2.174983e-10   12654
  2.496156e+00   2.378132e-08   6.005387e-04   2.094993e-10   13236
  2.517765e+00   2.392694e-08   1.010628e-02   2.058757e-10   13438
  2.539602e+00   2.373320e-08   9.833175e-03   2.001373e-10   14344
  2.562231e+00   2.406840e-08   6.098497e-03   2.019213e-10   14226
  2.583610e+00   2.437384e-08   4.852647e-03   2.085818e-10   14088
  2.605268e+00   2.520179e-08   0.000000e+00   2.126579e-10   14328
  2.626979e+00   2.439605e-08   6.865998e-03   1.961483e-10   14954
  2.648987e+00   2.467651e-08   5.292112e-03   1.985991e-10   15480
  2.671081e+00   2.490235e-08   7.085481e-03   2.080235e-10   14862
  2.692014e+00   2.460523e-08   8.486906e-03   1.973011e-10   15296
  2.713995e+00   2.519916e-08   8.056963e-03   1.999479e-10   15954
  2.735534e+00   2.487811e-08   6.893832e-03   1.985271e-10   15720
  2.757079e+00   2.536956e-08   2.838511e-03   1.960933e-10   16296
  2.779272e+00   2.555988e-08   4.557408e-03   1.997518e-10   17010
  2.800822e+00   2.591901e-08   3.760185e-03   2.018715e-10   16328
  2.822502e+00   2.574894e-08   3.723229e-03   1.944523e-10   17094
  2.844247e+00   2.625493e-08   9.009062e-03   2.002545e-10   17436
  2.866240e+00   2.616614e-08   9.257426e-03   2.025827e-10   17862
  2.888325e+00   2.609726e-08   8.056280e-03   1.922330e-10   18200
  2.910573e+00   2.659257e-08   6.615606e-04   1.951895e-10   18450
  2.932337e+00   2.659940e-08   3.915346e-03   1.978743e-10   18384
  2.954048e+00   2.709445e-08   6.085496e-03   2.030567e-10   18504
  2.975734e+00   2.699847e-08   4.847910e-03   1.980999e-10   19142
  2.997858e+00   2.719206e-08   6.297132e-03   1.985441e-10   19692
  3.019747e+00   2.750175e-08   6.237398e-03   2.027525e-10   19062
  3.041162e+00   2.728499e-08   0.000000e+00   1.948138e-10   20184
  3.063298e+00   2.743119e-08   7.679296e-03   1.963505e-10   19970
  3.084888e+00   2.736648e-08   0.000000e+00   1.928423e-10   20496
  3.107111e+00   2.815852e-08   9.052794e-03   1.939406e-10   21456
  3.128739e+00   2.820239e-08   6.234570e-03   2.008456e-10   19650
  3.149970e+00   2.843491e-08   1.019592e-02   1.940156e-10   22040
  3.172351e+00   2.906910e-08   1.369219e-02   2.000673e-10   21558
  3.193964e+00   2.929782e-08   0.000000e+00   1.976521e-10   21804
  3.215633e+00   2.994781e-08   8.480133e-03   2.060877e-10   21926
  3.237231e+00   2.973688e-08   9.950409e-03   2.053393e-10   22416
  3.258917e+00   2.957815e-08   9.095878e-03   1.998067e-10   22776
  3.281215e+00   2.969086e-08   6.927355e-03   1.946740e-10   23874
  3.303121e+00   2.980811e-08   0.000000e+00   1.975637e-10   23104
  3.324901e+00   2.989846e-08   0.000000e+00   1.931846e-10   23974
  3.346732e+00   3.040317e-08   1.446234e-02   1.970146e-10   23892
  3.368184e+00   3.091858e-08   0.000000e+00   2.064038e-10   23550
  3.389783e+00   3.096770e-08   6.983002e-03   1.968721e-10   25320
  3.411723e+00   3.102778e-08   1.243566e-02   2.007305e-10   24428
  3.433193e+00   3.134629e-08   8.440805e-03   1.960498e-10   25254
  3.455174e+00   3.172460e-08   0.000000e+00   1.999320e-10   26016
  3.476842e+00   3.166993e-08   1.874594e-03   2.026496e-10   25182
  3.498712e+00   3.202058e-08   4.036603e-03   1.948577e-10   27428
  3.520895e+00   3.243492e-08   5.998916e-03   2.040655e-10   25974
  3.542241e+00   3.267519e-08   9.418408e-03   2.015518e-10   26904
  3.563919e+00   3.310715e-08   3.890702e-03   2.082941e-10   26730
  3.585620e+00   3.294828e-08   0.000000e+00   1.978972e-10   27896
  3.607863e+00   3.311381e-08   1.093651e-02   1.958041e-10   28992
  3.630372e+00   3.333943e-08   2.832047e-03   1.969700e-10   28698
  3.651850e+00   3.429077e-08   0.000000e+00   2.067271e-10   27816
  3.673791e+00   3.370062e-08   0.000000e+00   1.984061e-10   29774
  3.695740e+00   3.383690e-08   6.962129e-03   1.987253e-10   29148
  3.717199e+00   3.420172e-08   0.000000e+00   2.028359e-10   28806
  3.738813e+00   3.493735e-08   1.214680e-02   2.020468e-10   30408
  3.760675e+00   3.435375e-08   0.000000e+00   1.997395e-10   30320
  3.782725e+00   3.538629e-08   0.000000e+00   2.037999e-10   30930
  3.804736e+00   3.522970e-08   0.000000e+00   2.008725e-10   31656
  3.826238e+00   3.491123e-08   5.589935e-04   2.031459e-10   30086
  3.847838e+00   3.545373e-08   1.407922e-02   1.967114e-10   32724
  3.869609e+00   3.637890e-08   8.310590e-03   2.107387e-10   30846
  3.891230e+00   3.632385e-08   2.634120e-03   2.024591e-10   33480
  3.913330e+00   3.620806e-08   1.146713e-02   2.026272e-10   32724
  3.934938e+00   3.645847e-08   7.206007e-03   2.034236e-10   32894
  3.956857e+00   3.680091e-08   0.000000e+00   1.990035e-10   34200
  3.978780e+00   3.641727e-08   8.916845e-03   2.010806e-10   33594
  4.000312e+00   3.790334e-08   0.000000e+00   2.028243e-10   34336
  4.022277e+00   3.743425e-08   0.000000e+00   2.021398e-10   34822
  4.044074e+00   3.713665e-08   0.000000e+00   1.982695e-10   35472
  4.065753e+00   3.744989e-08   0.000000e+00   2.034050e-10   34404
  4.087366e+00   3.787740e-08   0.000000e+00   2.025048e-10   36222
  4.109030e+00   3.817809e-08   6.077102e-03   2.050285e-10   35984
  4.130915e+00   3.758706e-08   8.838642e-03   1.969176e-10   36570
  4.152610e+00   3.864822e-08   0.000000e+00   1.998108e-10   37176
  4.174544e+00   3.885769e-08   0.000000e+00   2.016183e-10   37406
  4.196387e+00   3.870364e-08   0.000000e+00   1.991209e-10   38052
  4.218053e+00   3.914032e-08   0.000000e+00   2.064780e-10   37590
  4.240016e+00   3.915820e-08   1.104766e-02   2.003579e-10   39480
  4.261757e+00   4.015137e-08   0.000000e+00   2.075669e-10   38260
  4.283490e+00   3.917052e-08   1.092906e-02   1.981471e-10   39646
  4.305669e+00   4.057282e-08   5.692115e-03   2.027269e-10   40944
  4.327660e+00   3.960219e-08   0.000000e+00   2.007773e-10   39678
  4.349324e+00   4.029041e-08   0.000000e+00   2.015581e-10   40804
  4.371119e+00   4.089885e-08   0.000000e+00   2.036949e-10   40606
  4.392949e+00   4.038534e-08   1.460511e-02   1.983393e-10   42216
  4.414914e+00   4.107178e-08   0.000000e+00   2.039318e-10   41532
  4.436610e+00   4.124060e-08   0.000000e+00   2.023894e-10   41990
  4.458148e+00   4.118691e-08   1.540835e-02   2.019291e-10   42360
  4.480126e+00   4.161793e-08   5.686305e-03   2.011932e-10   43530
  4.501970e+00   4.140335e-08   8.702313e-03   1.983792e-10   43848
  4.523745e+00   4.232719e-08   0.000000e+00   2.071411e-10   42870
  4.545591e+00   4.187154e-08   1.484899e-02   1.958915e-10   46160
  4.567519e+00   4.170826e-08   6.057532e-03   2.034489e-10   43380
  4.589112e+00   4.199789e-08   0.000000e+00   1.989817e-10   45294
  4.610779e+00   4.277989e-08   1.384161e-02   2.012881e-10   45744
  4.632934e+00   4.279584e-08   0.000000e+00   2.002884e-10   46682
  4.654609e+00   4.304142e-08   7.590794e-03   2.057569e-10   45840
  4.676354e+00   4.302569e-08   0.000000e+00   2.019459e-10   47118
  4.698052e+00   4.291321e-08   2.029625e-02   2.006533e-10   47124
  4.719837e+00   4.332437e-08   4.745034e-03   2.016368e-10   47984
  4.742065e+00   4.389491e-08   8.672154e-03   1.990139e-10   49566
  4.763498e+00   4.438119e-08   5.102355e-03   2.075821e-10   46284
  4.784998e+00   4.329189e-08   1.476358e-02   1.957704e-10   49966
  4.806879e+00   4.409272e-08   1.115294e-02   2.019168e-10   49360
  4.828628e+00   4.445140e-08   3.967900e-03   2.025248e-10   49806
  4.850553e+00   4.457263e-08   1.221123e-02   1.975156e-10   51492
  4.872240e+00   4.445015e-08   1.600863e-02   2.013528e-10   49496
  4.894109e+00   4.442858e-08   1.623151e-02   1.955252e-10   53190
  4.916163e+00   4.499431e-08   0.000000e+00   2.009385e-10   51060
  4.937784e+00   4.487358e-08   0.000000e+00   1.973468e-10   52134
  4.959473e+00   4.550786e-08   1.069235e-02   2.016707e-10   53088
  4.981334e+00   4.505498e-08   7.073002e-03   1.991425e-10   52706
  5.003129e+00   4.514875e-08   1.023161e-02   1.944685e-10   54936
  5.025272e+00   4.567715e-08   0.000000e+00   1.996110e-10   53886
  5.046929e+00   4.530361e-08   0.000000e+00   1.978501e-10   54436
  5.068583e+00   4.606333e-08   0.000000e+00   1.994068e-10   55096
  5.090670e+00   4.586119e-08   0.000000e+00   1.966911e-10   56358
  5.112314e+00   4.620765e-08   0.000000e+00   1.988960e-10   55632
  5.134135e+00   4.566375e-08   2.089196e-02   1.939891e-10   56530
  5.155898e+00   4.634634e-08   0.000000e+00   1.972793e-10   57232
  5.177585e+00   4.652516e-08   0.000000e+00   1.965235e-10   56766
  5.199820e+00   4.616220e-08   0.000000e+00   1.898532e-10   60804
  5.221461e+00   4.657305e-08   0.000000e+00   2.019410e-10   55536
  5.243180e+00   4.708915e-08   2.637204e-02   1.929182e-10   61166
  5.264987e+00   4.707635e-08   0.000000e+00   2.016109e-10   57396
  5.286553e+00   4.677409e-08   1.226762e-02   1.932462e-10   60870
  5.308448e+00   4.658992e-08   0.000000e+00   1.925982e-10   60224
  5.330233e+00   4.768654e-08   1.820755e-02   1.960397e-10   61002
  5.352088e+00   4.771686e-08   1.693624e-02   1.921550e-10   62016
  5.373827e+00   4.755248e-08   0.000000e+00   1.965909e-10   60768
  5.395394e+00   4.771018e-08   2.456571e-02   1.958679e-10   62870
  5.417440e+00   4.780305e-08   8.989315e-03   1.919175e-10   63804
  5.439361e+00   4.732085e-08   1.173264e-02   1.914494e-10   63054
  5.460783e+00   4.804562e-08   9.528580e-03   1.947477e-10   63024
  5.482666e+00   4.774597e-08   0.000000e+00   1.898691e-10   65018
  5.504301e+00   4.821402e-08   1.567979e-02   1.943586e-10   64608
  5.526161e+00   4.833340e-08   0.000000e+00   1.914556e-10   65688
  5.547959e+00   4.776272e-08   2.369999e-02   1.888634e-10   65994
  5.569685e+00   4.802428e-08   0.000000e+00   1.901676e-10   66648
  5.591650e+00   4.828860e-08   1.645392e-02   1.890483e-10   67310
  5.613298e+00   4.860334e-08   0.000000e+00   1.927508e-10   67224
  5.635098e+00   4.833967e-08   7.322080e-03   1.900303e-10   68034
  5.656981e+00   4.855327e-08   0.000000e+00   1.866075e-10   69744
  5.678864e+00   4.849058e-08   1.213808e-02   1.863452e-10   68654
  5.700966e+00   4.850103e-08   1.640349e-02   1.838811e-10   72132
  5.722832e+00   4.891261e-08   1.024472e-02   1.907356e-10   68520
