# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
     73   1.387331e+01   3.304302e-02   3.165945e+00   0.000000e+00   0.000000e+00
     74   1.396706e+01   3.345255e-02   3.146342e+00   0.000000e+00   0.000000e+00
     75   1.406081e+01   3.386457e-02   3.126982e+00   0.000000e+00   0.000000e+00
     76   1.415456e+01   3.427909e-02   3.107860e+00   0.000000e+00   0.000000e+00
     77   1.424831e+01   3.469611e-02   3.088974e+00   0.000000e+00   0.000000e+00
     78   1.434206e+01   3.511563e-02   3.070317e+00   0.000000e+00   0.000000e+00
     79   1.443581e+01   3.553766e-02   3.051887e+00   0.000000e+00   0.000000e+00
     80   1.452956e+01   3.596218e-02   3.033678e+00   0.000000e+00   0.000000e+00
     81   1.462331e+01   3.638921e-02   3.015687e+00   0.000000e+00   0.000000e+00
     82   1.471706e+01   3.681873e-02   2.997910e+00   0.000000e+00   0.000000e+00
     83   1.481081e+01   3.725076e-02   2.980344e+00   0.000000e+00   0.000000e+00
     84   1.490456e+01   3.768529e-02   2.962983e+00   0.000000e+00   0.000000e+00
     85   1.499831e+01   3.812232e-02   2.945826e+00   0.000000e+00   0.000000e+00
     86   1.509206e+01   3.856185e-02   2.928868e+00   0.000000e+00   0.000000e+00
     87   1.518581e+01   3.900388e-02   2.912105e+00   0.000000e+00   0.000000e+00
     88   1.527956e+01   3.944841e-02   2.895535e+00   0.000000e+00   0.000000e+00
     89   1.537331e+01   3.989544e-02   2.879154e+00   0.000000e+00   0.000000e+00
     90   1.546706e+01   4.034498e-02   2.862958e+00   0.000000e+00   0.000000e+00
     91   1.556081e+01   4.079701e-02   2.846946e+00   0.000000e+00   0.000000e+00
     92   1.565456e+01   4.125155e-02   2.831113e+00   0.000000e+00   0.000000e+00
     93   1.574831e+01   4.170858e-02   2.815456e+00   0.000000e+00   0.000000e+00
     94   1.584206e+01   4.216812e-02   2.799973e+00   0.000000e+00   0.000000e+00
     95   1.593581e+01   4.263016e-02   2.784661e+00   0.000000e+00   0.000000e+00
     96   1.602956e+01   4.309471e-02   2.769517e+00   0.000000e+00   0.000000e+00
     97   1.612331e+01   4.356175e-02   2.754537e+00   0.000000e+00   0.000000e+00
     98   1.621706e+01   4.403129e-02   2.739721e+00   0.000000e+00   0.000000e+00
     99   1.631081e+01   4.450334e-02   2.725064e+00   0.000000e+00   0.000000e+00
    100   1.640456e+01   4.497789e-02   2.710564e+00   0.000000e+00   0.000000e+00
    101   1.649831e+01   4.545494e-02   2.696219e+00   0.000000e+00   0.000000e+00
    102   1.659206e+01   4.593449e-02   2.682026e+00   0.000000e+00   0.000000e+00
    103   1.668581e+01   4.641654e-02   2.667984e+00   0.000000e+00   0.000000e+00
    104   1.677956e+01   4.690110e-02   2.654088e+00   0.000000e+00   0.000000e+00
    105   1.687331e+01   4.738815e-02   2.640338e+00   0.000000e+00   0.000000e+00
    106   1.696706e+01   4.787771e-02   2.626730e+00   0.000000e+00   0.000000e+00
    107   1.706081e+01   4.836977e-02   2.613263e+00   0.000000e+00   0.000000e+00
    108   1.715456e+01   4.886434e-02   2.599935e+00   0.000000e+00   0.000000e+00
    109   1.724831e+01   4.936140e-02   2.586743e+00   0.000000e+00   0.000000e+00
    110   1.734206e+01   4.986097e-02   2.573685e+00   0.000000e+00   0.000000e+00
    111   1.743581e+01   5.036304e-02   2.560760e+00   0.000000e+00   0.000000e+00
    112   1.752956e+01   5.086761e-02   2.547964e+00   0.000000e+00   0.000000e+00
    113   1.762331e+01   5.137469e-02   2.535297e+00   0.000000e+00   0.000000e+00
    114   1.771706e+01   5.188426e-02   2.522756e+00   0.000000e+00   0.000000e+00
    115   1.781081e+01   5.239634e-02   2.510340e+00   0.000000e+00   0.000000e+00
    116   1.790456e+01   5.291093e-02   2.498046e+00   0.000000e+00   0.000000e+00
    117   1.799831e+01   5.342801e-02   2.485873e+00   0.000000e+00   0.000000e+00
    118   1.809206e+01   5.394760e-02   2.473819e+00   0.000000e+00   0.000000e+00
    119   1.818581e+01   5.446969e-02   2.461882e+00   0.000000e+00   0.000000e+00
    120   1.827956e+01   5.499429e-02   2.450061e+00   0.000000e+00   0.000000e+00
    121   1.837331e+01   5.552139e-02   2.438354e+00   0.000000e+00   0.000000e+00
    122   1.846706e+01   5.605099e-02   2.426759e+00   0.000000e+00   0.000000e+00
    123   1.856081e+01   5.658309e-02   2.415275e+00   0.000000e+00   0.000000e+00
    124   1.865456e+01   5.711770e-02   2.403900e+00   0.000000e+00   0.000000e+00
    125   1.874831e+01   5.765481e-02   2.392632e+00   0.000000e+00   0.000000e+00
    126   1.884206e+01   5.819443e-02   2.381471e+00   0.000000e+00   0.000000e+00
    127   1.893581e+01   5.873655e-02   2.370413e+00   0.000000e+00   0.000000e+00
    128   1.902956e+01   5.928117e-02   2.359459e+00   0.000000e+00   0.000000e+00
    129   1.912331e+01   5.982830e-02   2.348607e+00   0.000000e+00   0.000000e+00
    130   1.921706e+01   6.037793e-02   2.337855e+00   0.000000e+00   0.000000e+00
    131   1.931081e+01   6.093007e-02   2.327202e+00   0.000000e+00   0.000000e+00
    132   1.940456e+01   6.148471e-02   2.316646e+00   0.000000e+00   0.000000e+00
    133   1.949831e+01   6.204186e-02   2.306186e+00   0.000000e+00   0.000000e+00
    134   1.959206e+01   6.260151e-02   2.295821e+00   0.000000e+00   0.000000e+00
    135   1.968581e+01   6.316366e-02   2.285550e+00   0.000000e+00   0.000000e+00
    136   1.977956e+01   6.372832e-02   2.275371e+00   0.000000e+00   0.000000e+00
    137   1.987331e+01   6.429549e-02   2.265284e+00   0.000000e+00   0.000000e+00
    138   1.996706e+01   6.486516e-02   2.255286e+00   0.000000e+00   0.000000e+00
    139   2.006081e+01   6.543733e-02   2.245376e+00   0.000000e+00   0.000000e+00
    140   2.015456e+01   6.601201e-02   2.235555e+00   0.000000e+00   0.000000e+00
    141   2.024831e+01   6.658920e-02   2.225820e+00   0.000000e+00   0.000000e+00
    142   2.034206e+01   6.716889e-02   2.216169e+00   0.000000e+00   0.000000e+00
    143   2.043581e+01   6.775109e-02   2.206603e+00   0.000000e+00   0.000000e+00
    144   2.052956e+01   6.833580e-02   2.197121e+00   0.000000e+00   0.000000e+00
    145   2.062331e+01   6.892301e-02   2.187720e+00   0.000000e+00   0.000000e+00
    146   2.071706e+01   6.951273e-02   2.178400e+00   0.000000e+00   0.000000e+00
    147   2.081081e+01   7.010495e-02   2.169159e+00   0.000000e+00   0.000000e+00
    148   2.090456e+01   7.069968e-02   2.159998e+00   0.000000e+00   0.000000e+00
    149   2.099831e+01   7.129692e-02   2.150915e+00   0.000000e+00   0.000000e+00
    150   2.109206e+01   7.189667e-02   2.141908e+00   0.000000e+00   0.000000e+00
    151   2.118581e+01   7.249892e-02   2.132978e+00   0.000000e+00   0.000000e+00
    152   2.127956e+01   7.310368e-02   2.124122e+00   0.000000e+00   0.000000e+00
    153   2.137331e+01   7.371095e-02   2.115340e+00   0.000000e+00   0.000000e+00
    154   2.146706e+01   7.432073e-02   2.106632e+00   0.000000e+00   0.000000e+00
    155   2.156081e+01   7.493301e-02   2.097996e+00   0.000000e+00   0.000000e+00
    156   2.165456e+01   7.554780e-02   2.089431e+00   0.000000e+00   0.000000e+00
    157   2.174831e+01   7.616511e-02   2.080936e+00   0.000000e+00   0.000000e+00
    158   2.184206e+01   7.678492e-02   2.072511e+00   0.000000e+00   0.000000e+00
    159   2.193581e+01   7.740724e-02   2.064155e+00   0.000000e+00   0.000000e+00
    160   2.202956e+01   7.803207e-02   2.055867e+00   0.000000e+00   0.000000e+00
    161   2.212331e+01   7.865941e-02   2.047646e+00   0.000000e+00   0.000000e+00
    162   2.221706e+01   7.928925e-02   2.039491e+00   0.000000e+00   0.000000e+00
    163   2.231081e+01   7.992161e-02   2.031402e+00   0.000000e+00   0.000000e+00
    164   2.240456e+01   8.055648e-02   2.023377e+00   0.000000e+00   0.000000e+00
    165   2.249831e+01   8.119386e-02   2.015417e+00   0.000000e+00   0.000000e+00
    166   2.259206e+01   8.183375e-02   2.007520e+00   0.000000e+00   0.000000e+00
    167   2.268581e+01   8.247615e-02   1.999685e+00   0.000000e+00   0.000000e+00
    168   2.277956e+01   8.312107e-02   1.991912e+00   0.000000e+00   0.000000e+00
    169   2.287331e+01   8.376849e-02   1.984200e+00   0.000000e+00   0.000000e+00
    170   2.296706e+01   8.441843e-02   1.976548e+00   0.000000e+00   0.000000e+00
    171   2.306081e+01   8.507087e-02   1.968956e+00   0.000000e+00   0.000000e+00
    172   2.315456e+01   8.572583e-02   1.961423e+00   0.000000e+00   0.000000e+00
    173   2.324831e+01   8.638331e-02   1.953948e+00   0.000000e+00   0.000000e+00
    174   2.334206e+01   8.704329e-02   1.946530e+00   0.000000e+00   0.000000e+00
    175   2.343581e+01   8.770579e-02   1.939170e+00   0.000000e+00   0.000000e+00
    176   2.352956e+01   8.837081e-02   1.931866e+00   0.000000e+00   0.000000e+00
    177   2.362331e+01   8.903833e-02   1.924618e+00   0.000000e+00   0.000000e+00
    178   2.371706e+01   8.970838e-02   1.917425e+00   0.000000e+00   0.000000e+00
    179   2.381081e+01   9.038093e-02   1.910286e+00   0.000000e+00   0.000000e+00
    180   2.390456e+01   9.105600e-02   1.903201e+00   0.000000e+00   0.000000e+00
    181   2.399831e+01   9.173359e-02   1.896169e+00   0.000000e+00   0.000000e+00
