# power spectrum of omega (curl v)
# redshift z=1.305200
# k              Pk             sigma(k)       sigma(Pk)      count
  5.034611e-02   7.268688e-18   1.649661e-05   1.117741e-18   6
  7.120015e-02   5.026655e-17   0.000000e+00   8.072247e-18   12
  9.298354e-02   3.482711e-16   6.675868e-03   7.816934e-17   14
  1.179498e-01   6.284566e-16   5.372206e-03   6.972130e-17   48
  1.485703e-01   2.933393e-15   3.902364e-03   3.261932e-16   42
  1.630938e-01   5.672078e-15   3.885028e-03   4.585210e-16   48
  1.849248e-01   8.523429e-15   4.657527e-03   6.275363e-16   80
  2.095764e-01   2.021879e-14   3.616184e-03   1.360998e-15   90
  2.284365e-01   3.375281e-14   5.678407e-03   1.878539e-15   120
  2.552299e-01   7.126894e-14   4.772066e-03   4.194446e-15   158
  2.729761e-01   1.153879e-13   2.264649e-03   6.826655e-15   120
  2.943566e-01   1.387551e-13   5.061767e-03   8.691620e-15   186
  3.179794e-01   2.230074e-13   6.922087e-03   1.020412e-14   264
  3.371748e-01   3.063403e-13   3.737021e-03   1.628586e-14   168
  3.616666e-01   5.516081e-13   6.678935e-03   2.201065e-14   386
  3.821617e-01   6.534999e-13   4.041476e-03   2.883034e-14   192
  4.023269e-01   9.187046e-13   6.626239e-03   3.813768e-14   390
  4.249813e-01   1.220133e-12   6.937664e-03   4.105010e-14   396
  4.462644e-01   1.483579e-12   6.882941e-03   5.381771e-14   398
  4.696612e-01   2.407050e-12   6.746443e-03   7.599349e-14   576
  4.926857e-01   3.068243e-12   6.844329e-03   1.067975e-13   444
  5.128251e-01   3.568695e-12   6.175253e-03   1.095116e-13   590
  5.357574e-01   4.701893e-12   6.762370e-03   1.269242e-13   648
  5.581250e-01   5.545400e-12   5.984853e-03   1.576020e-13   654
  5.779979e-01   7.388203e-12   4.964212e-03   2.069245e-13   636
  6.002125e-01   8.196101e-12   7.442619e-03   2.067846e-13   830
  6.210565e-01   1.018526e-11   5.357348e-03   2.586296e-13   792
  6.423697e-01   1.127499e-11   5.509935e-03   2.833384e-13   804
  6.641974e-01   1.441510e-11   6.800522e-03   3.188195e-13   1038
  6.853297e-01   1.777671e-11   5.326721e-03   4.385665e-13   936
  7.082344e-01   2.045539e-11   6.224155e-03   4.326099e-13   1130
  7.289948e-01   2.251847e-11   5.780067e-03   5.081197e-13   1104
  7.517839e-01   2.697327e-11   6.426420e-03   5.558686e-13   1230
  7.726234e-01   3.086513e-11   6.530794e-03   5.843816e-13   1260
  7.937953e-01   3.649291e-11   5.642377e-03   7.451713e-13   1286
  8.177406e-01   4.169225e-11   6.847285e-03   6.949221e-13   1728
  8.404302e-01   4.761585e-11   6.057382e-03   9.323902e-13   1392
  8.619952e-01   5.321204e-11   5.759775e-03   9.397652e-13   1626
  8.840987e-01   6.110819e-11   6.796772e-03   1.048280e-12   1760
  9.062925e-01   6.934001e-11   5.620745e-03   1.151525e-12   1686
  9.272150e-01   7.788680e-11   5.697098e-03   1.293912e-12   1812
  9.486081e-01   8.848956e-11   6.573858e-03   1.451884e-12   1862
  9.704713e-01   9.803591e-11   5.863962e-03   1.488234e-12   2160
