# power spectrum of omega (curl v)
# redshift z=1.896600
# k              Pk             sigma(k)       sigma(Pk)      count
  3.055727e-02   1.977397e-19   4.675553e-03   3.096874e-20   18
  5.341665e-02   4.285817e-18   5.655040e-03   5.040800e-19   62
  7.434527e-02   2.015705e-17   3.912110e-03   1.558809e-18   90
  9.415887e-02   8.657214e-17   6.174130e-03   5.094561e-18   170
  1.147788e-01   2.244113e-16   6.417357e-03   1.165286e-17   246
  1.349136e-01   5.528328e-16   6.117973e-03   2.083248e-17   338
  1.547840e-01   1.302274e-15   5.259740e-03   4.816528e-17   432
  1.752496e-01   2.620220e-15   5.388591e-03   7.481166e-17   578
  1.970923e-01   5.209098e-15   6.441711e-03   1.366813e-16   810
  2.191172e-01   1.000077e-14   6.164249e-03   2.276630e-16   950
  2.395018e-01   1.733955e-14   5.502849e-03   4.028863e-16   1002
  2.598830e-01   2.620818e-14   6.293481e-03   5.404431e-16   1334
  2.805077e-01   4.200797e-14   5.893900e-03   8.357155e-16   1410
  3.001415e-01   6.318953e-14   5.888504e-03   1.136967e-15   1652
  3.206634e-01   8.953395e-14   5.811251e-03   1.453043e-15   1974
  3.417217e-01   1.215126e-13   5.695893e-03   1.870801e-15   2234
  3.628382e-01   1.759186e-13   5.992205e-03   2.389391e-15   2554
  3.842991e-01   2.398190e-13   6.271470e-03   3.027430e-15   2950
  4.053164e-01   3.363732e-13   5.870280e-03   4.486787e-15   3042
  4.257258e-01   4.286940e-13   5.986537e-03   5.347492e-15   3422
  4.459920e-01   5.769588e-13   5.777647e-03   7.003321e-15   3618
  4.663977e-01   7.457812e-13   6.014958e-03   8.330516e-15   4172
  4.871509e-01   9.521337e-13   5.818807e-03   1.017077e-14   4470
  5.080134e-01   1.196064e-12   5.946319e-03   1.236458e-14   4970
  5.289512e-01   1.496570e-12   5.973882e-03   1.456811e-14   5334
  5.499014e-01   1.868962e-12   6.136007e-03   1.776447e-14   5810
  5.706020e-01   2.215712e-12   6.096676e-03   2.021924e-14   6114
  5.914387e-01   2.778607e-12   6.212350e-03   2.326344e-14   6782
  6.117516e-01   3.262155e-12   5.667314e-03   2.886673e-14   6684
  6.318846e-01   3.992376e-12   5.857548e-03   3.325011e-14   7574
  6.527619e-01   4.720347e-12   5.916187e-03   3.683018e-14   8154
  6.735722e-01   5.540074e-12   5.885752e-03   4.241979e-14   8618
  6.947297e-01   6.510051e-12   6.168353e-03   4.752289e-14   9494
  7.156903e-01   7.837462e-12   5.950826e-03   5.708285e-14   9618
  7.363700e-01   9.128818e-12   6.045432e-03   6.472545e-14   10306
  7.571525e-01   1.033354e-11   6.100609e-03   7.087308e-14   10942
  7.778692e-01   1.187376e-11   5.956436e-03   7.866394e-14   11452
  7.985669e-01   1.369314e-11   5.851987e-03   8.973429e-14   12046
  8.190852e-01   1.581888e-11   5.749947e-03   9.985465e-14   12522
  8.398421e-01   1.814554e-11   6.009802e-03   1.138461e-13   13562
  8.607721e-01   2.071629e-11   6.115273e-03   1.226133e-13   14182
  8.817291e-01   2.338441e-11   6.174655e-03   1.365304e-13   14986
  9.023242e-01   2.619002e-11   5.872702e-03   1.522157e-13   14982
  9.228786e-01   2.931955e-11   6.104890e-03   1.626268e-13   16388
  9.435923e-01   3.302205e-11   5.865745e-03   1.847984e-13   16626
  9.641656e-01   3.710640e-11   5.950476e-03   1.981698e-13   17678
  9.849050e-01   4.119920e-11   5.858296e-03   2.154203e-13   18354
  1.005560e+00   4.551569e-11   5.907843e-03   2.314884e-13   19034
  1.026288e+00   5.016594e-11   6.055506e-03   2.506127e-13   20142
  1.047361e+00   5.603565e-11   6.194458e-03   2.686943e-13   21386
  1.068199e+00   6.192871e-11   5.931446e-03   3.032712e-13   21318
  1.088858e+00   6.697179e-11   5.993218e-03   3.146320e-13   22676
  1.109675e+00   7.428411e-11   5.931729e-03   3.479316e-13   23322
  1.130327e+00   8.068255e-11   5.857783e-03   3.651671e-13   24134
  1.151021e+00   8.946635e-11   5.961102e-03   4.036575e-13   25146
  1.171751e+00   9.674885e-11   5.933026e-03   4.287809e-13   26030
  1.192371e+00   1.060520e-10   5.965685e-03   4.568511e-13   26674
  1.213218e+00   1.137617e-10   6.132824e-03   4.842170e-13   28570
  1.233909e+00   1.243511e-10   5.927042e-03   5.252525e-13   28224
  1.254671e+00   1.341857e-10   6.129052e-03   5.490981e-13   30626
  1.275440e+00   1.457865e-10   5.735857e-03   5.975120e-13   30158
  1.295885e+00   1.576364e-10   5.877782e-03   6.231737e-13   31674
  1.316679e+00   1.693634e-10   6.072868e-03   6.568109e-13   33306
  1.337368e+00   1.805525e-10   5.882611e-03   7.026248e-13   33422
  1.358043e+00   1.940178e-10   6.036511e-03   7.335574e-13   35298
  1.379037e+00   2.086741e-10   6.039578e-03   7.743648e-13   36650
  1.399851e+00   2.219968e-10   5.982483e-03   8.283495e-13   36992
  1.420647e+00   2.372839e-10   6.036908e-03   8.557190e-13   38730
  1.441452e+00   2.553782e-10   5.888940e-03   9.100113e-13   39246
  1.462129e+00   2.712685e-10   5.983017e-03   9.634828e-13   40466
  1.482704e+00   2.889115e-10   5.833226e-03   1.010208e-12   41170
  1.503437e+00   3.093028e-10   6.086966e-03   1.042868e-12   43534
  1.524223e+00   3.283003e-10   5.862400e-03   1.114152e-12   43650
  1.544837e+00   3.462745e-10   5.934423e-03   1.153820e-12   45272
  1.565723e+00   3.696577e-10   6.039898e-03   1.209667e-12   47098
  1.586565e+00   3.916200e-10   5.935805e-03   1.278565e-12   47746
  1.607253e+00   4.145629e-10   5.972617e-03   1.325008e-12   48870
  1.627839e+00   4.344171e-10   5.826832e-03   1.377942e-12   49682
  1.648381e+00   4.622156e-10   5.863695e-03   1.448451e-12   51222
  1.669152e+00   4.874506e-10   6.077484e-03   1.488935e-12   53378
  1.689858e+00   5.115545e-10   5.840491e-03   1.574765e-12   53634
  1.710744e+00   5.411562e-10   6.148870e-03   1.612402e-12   56888
  1.731685e+00   5.664955e-10   5.927725e-03   1.678576e-12   56650
  1.752473e+00   5.986502e-10   6.059540e-03   1.759897e-12   58786
  1.773212e+00   6.277640e-10   5.895548e-03   1.832407e-12   59214
  1.793888e+00   6.590831e-10   6.104720e-03   1.890160e-12   61250
  1.814521e+00   6.952636e-10   5.925072e-03   1.978299e-12   61686
  1.835084e+00   7.232154e-10   5.944736e-03   2.029845e-12   63626
  1.855898e+00   7.600613e-10   6.055430e-03   2.098820e-12   66204
  1.876801e+00   7.975411e-10   6.069910e-03   2.193954e-12   67094
  1.897511e+00   8.287854e-10   5.934899e-03   2.261488e-12   67890
  1.918254e+00   8.688136e-10   5.898216e-03   2.317509e-12   70334
  1.938972e+00   9.038083e-10   5.803537e-03   2.394532e-12   70626
  1.959535e+00   9.443986e-10   6.044272e-03   2.488937e-12   72554
  1.980239e+00   9.913594e-10   6.064389e-03   2.573189e-12   74550
  2.000951e+00   1.025700e-09   5.948649e-03   2.647533e-12   75674
  2.021650e+00   1.071328e-09   5.907821e-03   2.729953e-12   77564
  2.042602e+00   1.117651e-09   6.075965e-03   2.777312e-12   80766
  2.063458e+00   1.155406e-09   5.858560e-03   2.924360e-12   80202
  2.084200e+00   1.205648e-09   5.948192e-03   2.977796e-12   83102
  2.104993e+00   1.250005e-09   5.974689e-03   3.056313e-12   83890
  2.125679e+00   1.297700e-09   6.005196e-03   3.134400e-12   85522
  2.146286e+00   1.344380e-09   5.826710e-03   3.237975e-12   86670
  2.166974e+00   1.408362e-09   5.920386e-03   3.319709e-12   89588
  2.187800e+00   1.449605e-09   6.076822e-03   3.388271e-12   91038
