# power spectrum of theta (div v)
# redshift z=0.791500
# k              Pk             sigma(k)       sigma(Pk)      count
  3.055727e-02   3.256827e-10   4.675553e-03   3.374882e-11   18
  5.341665e-02   1.133909e-09   5.655040e-03   5.211763e-11   62
  7.434527e-02   2.335361e-09   3.912110e-03   8.095568e-11   90
  9.415887e-02   3.057877e-09   6.174130e-03   9.028992e-11   170
  1.147788e-01   3.906031e-09   6.417357e-03   1.234616e-10   246
  1.349136e-01   5.405767e-09   6.117973e-03   1.544087e-10   338
  1.547840e-01   6.152129e-09   5.259740e-03   1.824915e-10   432
  1.752496e-01   7.597852e-09   5.388591e-03   2.097527e-10   578
  1.970923e-01   8.416838e-09   6.441711e-03   2.307353e-10   810
  2.191172e-01   9.060771e-09   6.164249e-03   2.474425e-10   950
  2.395018e-01   1.082453e-08   5.502849e-03   2.864893e-10   1002
  2.598830e-01   1.177296e-08   6.293481e-03   2.788460e-10   1334
  2.805077e-01   1.297765e-08   5.893900e-03   3.032729e-10   1410
  3.001415e-01   1.374770e-08   5.888504e-03   3.144106e-10   1652
  3.206634e-01   1.440512e-08   5.811251e-03   3.077015e-10   1974
  3.417217e-01   1.524465e-08   5.695893e-03   3.133291e-10   2234
  3.628382e-01   1.668627e-08   5.992205e-03   3.200234e-10   2554
  3.842991e-01   1.634838e-08   6.271470e-03   2.952541e-10   2950
  4.053164e-01   1.727354e-08   5.870280e-03   3.062402e-10   3042
  4.257258e-01   1.800875e-08   5.986537e-03   3.085036e-10   3422
  4.459920e-01   1.875892e-08   5.777647e-03   3.322016e-10   3618
  4.663977e-01   1.971091e-08   6.014958e-03   3.042415e-10   4172
  4.871509e-01   2.054848e-08   5.818807e-03   3.077985e-10   4470
  5.080134e-01   2.125908e-08   5.946319e-03   3.082339e-10   4970
  5.289512e-01   2.243570e-08   5.973882e-03   2.975196e-10   5334
  5.499014e-01   2.268863e-08   6.136007e-03   2.962091e-10   5810
  5.706020e-01   2.320166e-08   6.096676e-03   2.909672e-10   6114
  5.914387e-01   2.356938e-08   6.212350e-03   2.836389e-10   6782
  6.117516e-01   2.492854e-08   5.667314e-03   3.156344e-10   6684
  6.318846e-01   2.488569e-08   5.857548e-03   2.913384e-10   7574
  6.527619e-01   2.566129e-08   5.916187e-03   2.777916e-10   8154
  6.735722e-01   2.617607e-08   5.885752e-03   2.732987e-10   8618
  6.947297e-01   2.617098e-08   6.168353e-03   2.615298e-10   9494
  7.156903e-01   2.675281e-08   5.950826e-03   2.745803e-10   9618
  7.363700e-01   2.768264e-08   6.045432e-03   2.659928e-10   10306
  7.571525e-01   2.819430e-08   6.100609e-03   2.657686e-10   10942
  7.778692e-01   2.795799e-08   5.956436e-03   2.601983e-10   11452
  7.985669e-01   2.841738e-08   5.851987e-03   2.582066e-10   12046
  8.190852e-01   2.845136e-08   5.749947e-03   2.545323e-10   12522
  8.398421e-01   2.918510e-08   6.009802e-03   2.476416e-10   13562
  8.607721e-01   2.943028e-08   6.115273e-03   2.498250e-10   14182
  8.817291e-01   2.955323e-08   6.174655e-03   2.457157e-10   14986
  9.023242e-01   3.001184e-08   5.872702e-03   2.421576e-10   14982
  9.228786e-01   3.022985e-08   6.104890e-03   2.356031e-10   16388
  9.435923e-01   3.109939e-08   5.865745e-03   0.000000e+00   16626
  9.641656e-01   3.034622e-08   5.950476e-03   0.000000e+00   17678
  9.849050e-01   3.111439e-08   5.858296e-03   0.000000e+00   18354
  1.005560e+00   3.093457e-08   5.907843e-03   0.000000e+00   19034
  1.026288e+00   3.082691e-08   6.055506e-03   0.000000e+00   20142
  1.047361e+00   3.073116e-08   6.194458e-03   0.000000e+00   21386
  1.068199e+00   3.125279e-08   5.931446e-03   0.000000e+00   21318
  1.088858e+00   3.180403e-08   5.993218e-03   0.000000e+00   22676
  1.109675e+00   3.092912e-08   5.931729e-03   0.000000e+00   23322
  1.130327e+00   3.127158e-08   5.857783e-03   0.000000e+00   24134
  1.151021e+00   3.160809e-08   5.961102e-03   0.000000e+00   25146
  1.171751e+00   3.158029e-08   5.933026e-03   0.000000e+00   26030
  1.192371e+00   3.167284e-08   5.965685e-03   0.000000e+00   26674
  1.213218e+00   3.169674e-08   6.132824e-03   0.000000e+00   28570
  1.233909e+00   3.133939e-08   5.927042e-03   0.000000e+00   28224
