# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   3.514781e+00   9.900990e-03   5.557700e+00   0.000000e+00   0.000000e+00
      1   3.561656e+00   1.012801e-02   5.493286e+00   0.000000e+00   0.000000e+00
      2   3.608531e+00   1.035752e-02   5.430385e+00   0.000000e+00   0.000000e+00
      3   3.655406e+00   1.058954e-02   5.368943e+00   0.000000e+00   0.000000e+00
      4   3.702281e+00   1.082405e-02   5.308910e+00   0.000000e+00   0.000000e+00
      5   3.749156e+00   1.106107e-02   5.250236e+00   0.000000e+00   0.000000e+00
      6   3.796031e+00   1.130058e-02   5.192875e+00   0.000000e+00   0.000000e+00
      7   3.842906e+00   1.154260e-02   5.136783e+00   0.000000e+00   0.000000e+00
      8   3.889781e+00   1.178711e-02   5.081916e+00   0.000000e+00   0.000000e+00
      9   3.936656e+00   1.203413e-02   5.028234e+00   0.000000e+00   0.000000e+00
     10   3.983531e+00   1.228364e-02   4.975700e+00   0.000000e+00   0.000000e+00
     11   4.030406e+00   1.253566e-02   4.924275e+00   0.000000e+00   0.000000e+00
     12   4.077281e+00   1.279017e-02   4.873924e+00   0.000000e+00   0.000000e+00
     13   4.124156e+00   1.304719e-02   4.824613e+00   0.000000e+00   0.000000e+00
     14   4.171031e+00   1.330670e-02   4.776310e+00   0.000000e+00   0.000000e+00
     15   4.217906e+00   1.356872e-02   4.728984e+00   0.000000e+00   0.000000e+00
     16   4.264781e+00   1.383323e-02   4.682605e+00   0.000000e+00   0.000000e+00
     17   4.311656e+00   1.410024e-02   4.637143e+00   0.000000e+00   0.000000e+00
     18   4.358531e+00   1.436976e-02   4.592573e+00   0.000000e+00   0.000000e+00
     19   4.405406e+00   1.464177e-02   4.548867e+00   0.000000e+00   0.000000e+00
     20   4.452281e+00   1.491629e-02   4.506000e+00   0.000000e+00   0.000000e+00
     21   4.499156e+00   1.519330e-02   4.463948e+00   0.000000e+00   0.000000e+00
     22   4.546031e+00   1.547281e-02   4.422687e+00   0.000000e+00   0.000000e+00
     23   4.592906e+00   1.575483e-02   4.382195e+00   0.000000e+00   0.000000e+00
     24   4.639781e+00   1.603934e-02   4.342450e+00   0.000000e+00   0.000000e+00
     25   4.686656e+00   1.632635e-02   4.303432e+00   0.000000e+00   0.000000e+00
     26   4.733531e+00   1.661587e-02   4.265120e+00   0.000000e+00   0.000000e+00
     27   4.780406e+00   1.690788e-02   4.227496e+00   0.000000e+00   0.000000e+00
     28   4.827281e+00   1.720239e-02   4.190540e+00   0.000000e+00   0.000000e+00
     29   4.874156e+00   1.749940e-02   4.154234e+00   0.000000e+00   0.000000e+00
     30   4.921031e+00   1.779892e-02   4.118562e+00   0.000000e+00   0.000000e+00
     31   4.967906e+00   1.810093e-02   4.083507e+00   0.000000e+00   0.000000e+00
     32   5.014781e+00   1.840544e-02   4.049052e+00   0.000000e+00   0.000000e+00
     33   5.061656e+00   1.871246e-02   4.015182e+00   0.000000e+00   0.000000e+00
     34   5.108531e+00   1.902197e-02   3.981883e+00   0.000000e+00   0.000000e+00
     35   5.155406e+00   1.933398e-02   3.949139e+00   0.000000e+00   0.000000e+00
     36   5.202281e+00   1.964849e-02   3.916937e+00   0.000000e+00   0.000000e+00
     37   5.249156e+00   1.996551e-02   3.885264e+00   0.000000e+00   0.000000e+00
     38   5.296031e+00   2.028502e-02   3.854105e+00   0.000000e+00   0.000000e+00
     39   5.342906e+00   2.060703e-02   3.823449e+00   0.000000e+00   0.000000e+00
     40   5.389781e+00   2.093155e-02   3.793283e+00   0.000000e+00   0.000000e+00
     41   5.436656e+00   2.125856e-02   3.763596e+00   0.000000e+00   0.000000e+00
     42   5.483531e+00   2.158807e-02   3.734376e+00   0.000000e+00   0.000000e+00
     43   5.530406e+00   2.192008e-02   3.705612e+00   0.000000e+00   0.000000e+00
     44   5.577281e+00   2.225460e-02   3.677293e+00   0.000000e+00   0.000000e+00
     45   5.624156e+00   2.259161e-02   3.649409e+00   0.000000e+00   0.000000e+00
     46   5.671031e+00   2.293112e-02   3.621950e+00   0.000000e+00   0.000000e+00
     47   5.717906e+00   2.327314e-02   3.594906e+00   0.000000e+00   0.000000e+00
     48   5.764781e+00   2.361765e-02   3.568268e+00   0.000000e+00   0.000000e+00
     49   5.811656e+00   2.396466e-02   3.542027e+00   0.000000e+00   0.000000e+00
     50   5.858531e+00   2.431418e-02   3.516173e+00   0.000000e+00   0.000000e+00
     51   5.905406e+00   2.466619e-02   3.490698e+00   0.000000e+00   0.000000e+00
     52   5.952281e+00   2.502071e-02   3.465594e+00   0.000000e+00   0.000000e+00
     53   5.999156e+00   2.537772e-02   3.440853e+00   0.000000e+00   0.000000e+00
     54   6.046031e+00   2.573723e-02   3.416466e+00   0.000000e+00   0.000000e+00
     55   6.092906e+00   2.609925e-02   3.392426e+00   0.000000e+00   0.000000e+00
     56   6.139781e+00   2.646376e-02   3.368726e+00   0.000000e+00   0.000000e+00
     57   6.186656e+00   2.683078e-02   3.345358e+00   0.000000e+00   0.000000e+00
     58   6.233531e+00   2.720030e-02   3.322316e+00   0.000000e+00   0.000000e+00
     59   6.280406e+00   2.757231e-02   3.299592e+00   0.000000e+00   0.000000e+00
     60   6.327281e+00   2.794683e-02   3.277180e+00   0.000000e+00   0.000000e+00
     61   6.374156e+00   2.832384e-02   3.255074e+00   0.000000e+00   0.000000e+00
     62   6.421031e+00   2.870336e-02   3.233267e+00   0.000000e+00   0.000000e+00
     63   6.467906e+00   2.908538e-02   3.211754e+00   0.000000e+00   0.000000e+00
     64   6.514781e+00   2.946990e-02   3.190527e+00   0.000000e+00   0.000000e+00
     65   6.561656e+00   2.985691e-02   3.169582e+00   0.000000e+00   0.000000e+00
     66   6.608531e+00   3.024643e-02   3.148913e+00   0.000000e+00   0.000000e+00
     67   6.655406e+00   3.063845e-02   3.128515e+00   0.000000e+00   0.000000e+00
     68   6.702281e+00   3.103297e-02   3.108381e+00   0.000000e+00   0.000000e+00
     69   6.749156e+00   3.142999e-02   3.088508e+00   0.000000e+00   0.000000e+00
     70   6.796031e+00   3.182951e-02   3.068889e+00   0.000000e+00   0.000000e+00
     71   6.842906e+00   3.223153e-02   3.049521e+00   0.000000e+00   0.000000e+00
     72   6.889781e+00   3.263606e-02   3.030397e+00   0.000000e+00   0.000000e+00
     73   6.936656e+00   3.304308e-02   3.011515e+00   0.000000e+00   0.000000e+00
     74   6.983531e+00   3.345260e-02   2.992868e+00   0.000000e+00   0.000000e+00
     75   7.030406e+00   3.386463e-02   2.974453e+00   0.000000e+00   0.000000e+00
     76   7.077281e+00   3.427915e-02   2.956265e+00   0.000000e+00   0.000000e+00
     77   7.124156e+00   3.469618e-02   2.938300e+00   0.000000e+00   0.000000e+00
     78   7.171031e+00   3.511570e-02   2.920554e+00   0.000000e+00   0.000000e+00
     79   7.217906e+00   3.553773e-02   2.903023e+00   0.000000e+00   0.000000e+00
     80   7.264781e+00   3.596226e-02   2.885704e+00   0.000000e+00   0.000000e+00
     81   7.311656e+00   3.638929e-02   2.868591e+00   0.000000e+00   0.000000e+00
     82   7.358531e+00   3.681882e-02   2.851682e+00   0.000000e+00   0.000000e+00
     83   7.405406e+00   3.725085e-02   2.834973e+00   0.000000e+00   0.000000e+00
     84   7.452281e+00   3.768538e-02   2.818460e+00   0.000000e+00   0.000000e+00
     85   7.499156e+00   3.812241e-02   2.802140e+00   0.000000e+00   0.000000e+00
     86   7.546031e+00   3.856195e-02   2.786010e+00   0.000000e+00   0.000000e+00
     87   7.592906e+00   3.900398e-02   2.770065e+00   0.000000e+00   0.000000e+00
     88   7.639781e+00   3.944852e-02   2.754304e+00   0.000000e+00   0.000000e+00
     89   7.686656e+00   3.989556e-02   2.738723e+00   0.000000e+00   0.000000e+00
     90   7.733531e+00   4.034509e-02   2.723318e+00   0.000000e+00   0.000000e+00
