# power spectrum of omega (curl v)
# redshift z=0.476200
# k              Pk             sigma(k)       sigma(Pk)      count
  4.675239e-02   1.070343e-16   1.531908e-05   1.612906e-17   6
  6.611787e-02   3.674949e-16   0.000000e+00   5.111461e-17   12
  8.634636e-02   2.075809e-15   6.199343e-03   4.532145e-16   14
  1.095305e-01   5.887828e-15   4.988736e-03   4.418988e-16   48
  1.379653e-01   2.229564e-14   3.623812e-03   1.759036e-15   42
  1.514521e-01   4.609248e-14   3.607714e-03   4.561899e-15   48
  1.717248e-01   6.846367e-14   4.325071e-03   4.458502e-15   80
  1.946168e-01   1.868954e-13   3.358060e-03   1.108966e-14   90
  2.121306e-01   2.532661e-13   5.273081e-03   1.575817e-14   120
  2.370115e-01   5.512615e-13   4.431434e-03   3.567581e-14   158
  2.534910e-01   8.642300e-13   2.102998e-03   6.073447e-14   120
  2.733454e-01   9.758877e-13   4.700457e-03   4.891676e-14   186
  2.952819e-01   1.768445e-12   6.427987e-03   7.281361e-14   264
  3.131072e-01   2.307065e-12   3.470272e-03   1.485654e-13   168
  3.358507e-01   4.129322e-12   6.202191e-03   1.679876e-13   386
  3.548829e-01   5.076130e-12   3.752994e-03   2.581157e-13   192
  3.736086e-01   6.533957e-12   6.153256e-03   2.473658e-13   390
  3.946460e-01   8.439374e-12   6.442452e-03   2.737106e-13   396
  4.144099e-01   1.159683e-11   6.391635e-03   4.292967e-13   398
  4.361367e-01   1.670079e-11   6.264880e-03   5.316752e-13   576
  4.575177e-01   2.100876e-11   6.355778e-03   8.216913e-13   444
  4.762195e-01   2.391849e-11   5.734461e-03   6.831993e-13   590
  4.975149e-01   3.181921e-11   6.279670e-03   9.226448e-13   648
  5.182859e-01   4.069881e-11   5.557653e-03   1.207407e-12   654
  5.367402e-01   5.009120e-11   4.609866e-03   1.486267e-12   636
  5.573692e-01   5.510595e-11   6.911363e-03   1.500531e-12   830
  5.767253e-01   6.851553e-11   4.974939e-03   1.717452e-12   792
  5.965172e-01   7.614885e-11   5.116634e-03   1.874938e-12   804
  6.167868e-01   9.478678e-11   6.315099e-03   2.088761e-12   1038
  6.364107e-01   1.116928e-10   4.946499e-03   2.758013e-12   936
  6.576804e-01   1.257808e-10   5.787550e-03   2.942473e-12   1130
  6.769590e-01   1.475161e-10   5.367484e-03   3.090298e-12   1104
  6.981213e-01   1.607953e-10   5.970839e-03   3.233765e-12   1230
  7.174733e-01   2.039107e-10   6.064625e-03   3.855249e-12   1260
  7.371340e-01   2.266049e-10   5.239623e-03   4.751212e-12   1286
  7.593700e-01   2.484065e-10   6.358524e-03   4.126768e-12   1728
  7.804400e-01   2.821381e-10   5.625004e-03   5.702274e-12   1392
  8.004659e-01   3.368478e-10   5.322162e-03   6.190668e-12   1626
  8.209915e-01   3.615910e-10   6.316599e-03   6.328052e-12   1760
  8.416011e-01   4.117881e-10   5.219535e-03   7.006297e-12   1686
  8.610301e-01   4.555221e-10   5.309235e-03   7.885659e-12   1812
  8.808962e-01   4.921193e-10   6.115320e-03   8.601680e-12   1862
  9.011988e-01   5.489355e-10   5.445390e-03   8.379098e-12   2160
  9.216262e-01   6.057791e-10   5.566353e-03   1.060744e-11   1956
  9.421785e-01   6.777522e-10   6.253437e-03   9.877092e-12   2454
  9.622347e-01   7.080865e-10   4.877534e-03   1.115031e-11   2048
  9.823638e-01   7.754440e-10   6.360152e-03   1.115636e-11   2538
  1.002233e+00   8.894994e-10   5.321020e-03   1.344728e-11   2400
  1.022315e+00   9.242732e-10   6.339653e-03   1.292436e-11   2526
  1.042353e+00   9.942744e-10   6.275929e-03   1.373235e-11   2856
  1.063253e+00   1.101958e-09   5.902122e-03   1.573369e-11   2804
  1.083895e+00   1.187847e-09   6.121373e-03   1.589648e-11   2958
  1.103540e+00   1.246928e-09   5.946049e-03   1.643191e-11   2976
  1.124272e+00   1.375164e-09   5.941212e-03   1.802160e-11   3194
  1.143681e+00   1.430891e-09   5.923951e-03   1.887561e-11   3120
  1.164704e+00   1.586108e-09   5.981576e-03   1.895325e-11   3606
  1.184769e+00   1.630286e-09   5.478695e-03   2.080735e-11   3276
  1.204316e+00   1.771899e-09   6.204806e-03   2.096350e-11   3600
  1.224425e+00   1.867065e-09   5.440385e-03   2.260418e-11   3638
  1.243784e+00   1.986549e-09   5.815757e-03   2.436740e-11   3744
  1.264728e+00   2.126081e-09   5.996655e-03   2.419118e-11   4170
  1.284748e+00   2.201117e-09   5.682335e-03   2.507947e-11   3984
  1.305140e+00   2.383999e-09   5.765086e-03   2.577684e-11   4334
  1.325261e+00   2.422496e-09   5.324107e-03   2.514509e-11   4284
  1.345130e+00   2.526103e-09   6.429547e-03   2.775050e-11   4374
  1.365905e+00   2.636790e-09   5.700713e-03   2.658334e-11   5016
  1.386367e+00   2.884379e-09   5.485294e-03   3.031562e-11   4580
  1.406763e+00   2.928452e-09   6.448190e-03   2.896313e-11   5142
  1.427570e+00   3.111217e-09   6.220601e-03   3.038300e-11   5184
  1.447942e+00   3.296072e-09   4.848128e-03   3.298860e-11   5058
  1.467517e+00   3.434735e-09   5.757296e-03   3.411480e-11   5384
  1.488450e+00   3.607790e-09   6.536614e-03   3.378756e-11   5622
  1.508642e+00   3.757514e-09   5.552728e-03   3.614795e-11   5736
  1.528750e+00   3.775396e-09   4.940002e-03   3.619634e-11   5596
  1.548951e+00   3.957201e-09   6.199800e-03   3.624795e-11   6070
  1.568987e+00   4.225948e-09   4.803947e-03   3.923914e-11   6096
  1.589893e+00   4.303554e-09   5.921316e-03   3.932877e-11   6474
  1.609233e+00   4.551337e-09   5.699368e-03   4.088713e-11   6024
  1.629918e+00   4.683497e-09   5.762561e-03   4.083182e-11   7070
  1.650412e+00   4.832136e-09   4.694818e-03   4.250519e-11   6516
  1.670069e+00   5.009470e-09   5.750695e-03   4.185703e-11   6936
  1.690589e+00   5.269866e-09   5.764820e-03   4.298936e-11   7110
  1.710438e+00   5.408199e-09   4.243373e-03   4.512998e-11   7244
  1.731437e+00   5.505185e-09   6.197499e-03   4.358337e-11   7878
  1.751774e+00   5.817075e-09   6.043311e-03   4.672404e-11   7344
  1.771468e+00   6.024700e-09   6.264105e-03   4.898770e-11   7694
  1.791987e+00   6.131195e-09   5.996370e-03   4.716527e-11   8412
  1.812592e+00   6.289365e-09   6.244083e-03   5.009388e-11   7920
  1.832175e+00   6.455577e-09   5.329821e-03   4.981702e-11   8118
  1.852109e+00   6.663401e-09   6.155177e-03   5.172294e-11   8548
  1.872389e+00   6.957159e-09   6.202430e-03   5.192774e-11   8710
  1.892498e+00   7.062348e-09   5.417975e-03   5.175421e-11   8928
  1.913141e+00   7.151710e-09   6.021220e-03   5.301353e-11   9186
  1.932945e+00   7.350148e-09   6.386497e-03   5.412383e-11   9200
  1.953358e+00   7.579010e-09   5.570021e-03   5.457083e-11   9438
  1.973260e+00   7.778947e-09   7.888526e-03   5.729599e-11   9564
  1.993716e+00   8.218350e-09   6.002902e-03   5.780778e-11   10296
  2.014657e+00   8.263648e-09   5.296276e-03   5.785731e-11   10126
  2.034275e+00   8.300788e-09   6.543878e-03   5.899238e-11   10024
  2.055142e+00   8.749510e-09   4.600353e-03   5.838708e-11   11082
  2.075629e+00   8.787820e-09   7.152853e-03   6.020495e-11   10632
  2.095653e+00   9.067834e-09   5.295627e-03   6.394139e-11   10734
  2.115883e+00   9.095835e-09   6.292407e-03   6.056818e-11   11276
  2.136105e+00   9.414332e-09   5.678935e-03   6.306467e-11   11352
  2.156515e+00   9.532098e-09   5.862955e-03   6.346871e-11   11550
  2.176549e+00   9.954668e-09   5.479459e-03   6.545129e-11   11772
  2.196879e+00   9.990858e-09   6.872796e-03   6.423090e-11   12038
  2.216960e+00   1.033462e-08   8.443861e-03   6.689869e-11   12096
  2.237319e+00   1.041370e-08   6.704741e-03   6.682831e-11   12582
  2.257454e+00   1.054837e-08   1.962493e-03   6.689952e-11   12620
  2.278050e+00   1.085887e-08   7.168021e-03   6.754412e-11   13320
  2.298208e+00   1.120631e-08   6.474824e-03   7.112781e-11   12654
  2.317980e+00   1.121412e-08   9.867981e-04   7.055479e-11   13236
  2.338047e+00   1.133940e-08   9.316128e-03   6.901774e-11   13438
  2.358325e+00   1.160463e-08   9.069269e-03   6.819551e-11   14344
  2.379338e+00   1.197079e-08   5.720224e-03   7.131470e-11   14226
  2.399190e+00   1.222743e-08   4.758839e-03   7.346441e-11   14088
  2.419304e+00   1.234031e-08   0.000000e+00   7.343759e-11   14328
  2.439465e+00   1.252045e-08   6.449802e-03   7.317423e-11   14954
  2.459901e+00   1.278863e-08   4.820302e-03   7.326782e-11   15480
  2.480418e+00   1.282828e-08   6.458764e-03   7.437850e-11   14862
  2.499857e+00   1.316743e-08   7.881109e-03   7.474867e-11   15296
  2.520270e+00   1.338909e-08   7.481855e-03   7.492292e-11   15954
  2.540272e+00   1.350482e-08   6.290691e-03   7.594339e-11   15720
  2.560278e+00   1.371309e-08   2.374572e-03   7.788589e-11   16296
  2.580888e+00   1.386956e-08   3.884099e-03   7.541883e-11   17010
  2.600899e+00   1.398427e-08   3.674114e-03   7.860592e-11   16328
  2.621031e+00   1.430687e-08   3.457464e-03   7.721772e-11   17094
  2.641224e+00   1.446075e-08   8.365993e-03   7.750725e-11   17436
  2.661647e+00   1.477820e-08   8.596629e-03   7.864448e-11   17862
  2.682156e+00   1.486414e-08   7.232417e-03   7.893057e-11   18200
  2.702815e+00   1.522089e-08   9.867075e-04   8.136213e-11   18450
  2.723026e+00   1.537190e-08   3.327810e-03   8.141399e-11   18384
  2.743187e+00   1.568304e-08   5.567186e-03   8.179952e-11   18504
  2.763326e+00   1.578062e-08   4.273030e-03   8.202664e-11   19142
  2.783870e+00   1.612007e-08   5.847641e-03   8.179687e-11   19692
  2.804196e+00   1.602524e-08   6.017485e-03   8.254943e-11   19062
  2.824083e+00   1.648545e-08   0.000000e+00   8.292938e-11   20184
  2.844639e+00   1.668183e-08   7.261378e-03   8.411397e-11   19970
  2.864688e+00   1.678828e-08   0.000000e+00   8.407287e-11   20496
  2.885325e+00   1.689080e-08   8.484823e-03   8.111903e-11   21456
  2.905409e+00   1.721699e-08   5.830983e-03   8.729329e-11   19650
  2.925124e+00   1.722391e-08   9.366607e-03   8.245906e-11   22040
  2.945909e+00   1.759110e-08   1.253045e-02   8.466493e-11   21558
  2.965978e+00   1.780725e-08   0.000000e+00   8.557717e-11   21804
  2.986100e+00   1.786515e-08   7.874819e-03   8.693340e-11   21926
  3.006156e+00   1.806021e-08   9.438092e-03   8.496886e-11   22416
  3.026295e+00   1.828873e-08   8.372612e-03   8.617804e-11   22776
  3.047001e+00   1.830198e-08   6.467169e-03   8.470476e-11   23874
  3.067343e+00   1.862148e-08   0.000000e+00   8.732788e-11   23104
  3.087569e+00   1.866551e-08   0.000000e+00   8.566545e-11   23974
  3.107841e+00   1.901474e-08   1.351495e-02   8.737985e-11   23892
  3.127763e+00   1.932408e-08   0.000000e+00   8.941629e-11   23550
  3.147819e+00   1.941730e-08   6.423331e-03   8.664529e-11   25320
  3.168193e+00   1.953863e-08   1.169837e-02   9.078708e-11   24428
  3.188130e+00   1.944946e-08   7.976444e-03   8.736472e-11   25254
  3.208542e+00   1.987536e-08   0.000000e+00   8.731875e-11   26016
  3.228665e+00   2.003313e-08   0.000000e+00   8.996403e-11   25182
  3.248973e+00   2.024533e-08   3.403164e-03   8.560598e-11   27428
  3.269573e+00   2.054504e-08   5.382149e-03   9.055241e-11   25974
  3.289394e+00   2.075719e-08   8.698886e-03   9.058278e-11   26904
  3.309525e+00   2.075821e-08   3.233185e-03   9.083585e-11   26730
  3.329678e+00   2.087345e-08   0.000000e+00   8.901093e-11   27896
  3.350333e+00   2.104728e-08   1.010760e-02   8.789201e-11   28992
  3.371235e+00   2.135759e-08   2.786404e-03   8.856252e-11   28698
  3.391180e+00   2.136219e-08   0.000000e+00   8.920075e-11   27816
  3.411555e+00   2.162345e-08   0.000000e+00   8.906427e-11   29774
  3.431937e+00   2.169884e-08   6.483826e-03   9.001039e-11   29148
  3.451864e+00   2.209031e-08   0.000000e+00   9.166953e-11   28806
  3.471936e+00   2.201321e-08   1.111323e-02   9.031101e-11   30408
  3.492237e+00   2.228424e-08   0.000000e+00   9.160085e-11   30320
  3.512713e+00   2.232671e-08   0.000000e+00   8.979275e-11   30930
  3.533153e+00   2.262745e-08   0.000000e+00   9.136791e-11   31656
  3.553119e+00   2.273067e-08   1.523775e-03   9.214743e-11   30086
  3.573179e+00   2.317671e-08   1.304098e-02   9.081097e-11   32724
  3.593395e+00   2.338145e-08   7.529036e-03   9.491068e-11   30846
  3.613473e+00   2.318096e-08   2.453447e-03   8.953997e-11   33480
  3.633996e+00   2.363634e-08   1.056683e-02   9.211224e-11   32724
  3.654062e+00   2.344593e-08   6.429938e-03   9.315916e-11   32894
  3.674415e+00   2.384198e-08   0.000000e+00   9.233053e-11   34200
  3.694774e+00   2.387035e-08   8.429374e-03   9.235099e-11   33594
  3.714768e+00   2.412056e-08   0.000000e+00   9.299969e-11   34336
  3.735165e+00   2.431079e-08   2.754444e-03   9.379639e-11   34822
  3.755406e+00   2.437167e-08   0.000000e+00   9.239884e-11   35472
  3.775537e+00   2.481755e-08   0.000000e+00   9.555580e-11   34404
  3.795608e+00   2.456778e-08   0.000000e+00   9.318746e-11   36222
  3.815726e+00   2.494660e-08   5.781228e-03   9.480474e-11   35984
  3.836048e+00   2.512380e-08   8.558383e-03   9.338336e-11   36570
  3.856196e+00   2.504317e-08   0.000000e+00   9.204976e-11   37176
  3.876563e+00   2.548623e-08   0.000000e+00   9.384941e-11   37406
  3.896848e+00   2.514887e-08   0.000000e+00   9.173186e-11   38052
  3.916969e+00   2.584115e-08   0.000000e+00   9.427839e-11   37590
  3.937362e+00   2.553906e-08   1.018885e-02   9.259854e-11   39480
  3.957552e+00   2.614453e-08   0.000000e+00   9.419987e-11   38260
  3.977734e+00   2.625710e-08   1.021915e-02   9.437560e-11   39646
  3.998328e+00   2.610049e-08   5.541784e-03   9.191113e-11   40944
  4.018750e+00   2.619748e-08   0.000000e+00   9.412168e-11   39678
  4.038868e+00   2.648820e-08   0.000000e+00   9.387208e-11   40804
  4.059106e+00   2.656806e-08   0.000000e+00   9.348370e-11   40606
  4.079379e+00   2.688792e-08   1.361202e-02   9.310884e-11   42216
  4.099776e+00   2.715787e-08   0.000000e+00   9.498353e-11   41532
  4.119923e+00   2.705297e-08   0.000000e+00   9.342042e-11   41990
  4.139925e+00   2.718882e-08   1.435519e-02   9.343390e-11   42360
  4.160334e+00   2.748046e-08   5.280415e-03   9.467070e-11   43530
  4.180618e+00   2.765321e-08   7.920400e-03   9.479258e-11   43848
  4.200839e+00   2.766804e-08   0.000000e+00   9.504875e-11   42870
  4.221125e+00   2.779780e-08   1.393347e-02   9.205947e-11   46160
  4.241488e+00   2.809969e-08   5.965833e-03   9.647999e-11   43380
  4.261540e+00   2.810246e-08   0.000000e+00   9.419232e-11   45294
  4.281661e+00   2.822156e-08   1.288091e-02   9.442971e-11   45744
  4.302235e+00   2.836614e-08   0.000000e+00   9.352486e-11   46682
  4.322362e+00   2.837985e-08   7.173290e-03   9.442899e-11   45840
  4.342556e+00   2.853202e-08   0.000000e+00   9.272418e-11   47118
  4.362704e+00   2.845794e-08   1.872641e-02   9.366801e-11   47124
  4.382935e+00   2.874131e-08   4.023465e-03   9.336299e-11   47984
  4.403575e+00   2.877328e-08   8.098767e-03   9.142861e-11   49566
