# power spectrum of theta (div v)
# redshift z=1.993500
# k              Pk             sigma(k)       sigma(Pk)      count
  4.675239e-02   3.292022e-10   1.531908e-05   1.195309e-10   6
  6.611787e-02   1.716378e-09   0.000000e+00   3.890899e-10   12
  8.634636e-02   1.856008e-09   6.199343e-03   3.582301e-10   14
  1.095305e-01   2.837026e-09   4.988736e-03   3.251424e-10   48
  1.379653e-01   3.617559e-09   3.623812e-03   4.047253e-10   42
  1.514521e-01   3.396201e-09   3.607714e-03   4.581834e-10   48
  1.717248e-01   4.932904e-09   4.325071e-03   5.346512e-10   80
  1.946168e-01   6.778741e-09   3.358060e-03   5.674344e-10   90
  2.121306e-01   5.804574e-09   5.273081e-03   5.942535e-10   120
  2.370115e-01   8.134967e-09   4.431434e-03   5.584981e-10   158
  2.534910e-01   8.255735e-09   2.102998e-03   8.566875e-10   120
  2.733454e-01   9.017208e-09   4.700457e-03   6.221826e-10   186
  2.952819e-01   1.001484e-08   6.427987e-03   6.293264e-10   264
  3.131072e-01   1.218225e-08   3.470272e-03   9.052001e-10   168
  3.358507e-01   1.200837e-08   6.202191e-03   6.228596e-10   386
  3.548829e-01   1.003461e-08   3.752994e-03   6.542457e-10   192
  3.736086e-01   1.334494e-08   6.153256e-03   6.213032e-10   390
  3.946460e-01   1.129265e-08   6.442452e-03   5.879397e-10   396
  4.144099e-01   1.456667e-08   6.391635e-03   7.461032e-10   398
  4.361367e-01   1.444796e-08   6.264880e-03   5.794634e-10   576
  4.575177e-01   1.552408e-08   6.355778e-03   7.461854e-10   444
  4.762195e-01   1.787937e-08   5.734461e-03   6.961341e-10   590
  4.975149e-01   1.676101e-08   6.279670e-03   6.782688e-10   648
  5.182859e-01   1.749384e-08   5.557653e-03   7.141716e-10   654
  5.367402e-01   1.836930e-08   4.609866e-03   6.826744e-10   636
  5.573692e-01   1.810664e-08   6.911363e-03   6.343163e-10   830
  5.767253e-01   1.868324e-08   4.974939e-03   6.220224e-10   792
  5.965172e-01   1.989630e-08   5.116634e-03   7.336208e-10   804
  6.167868e-01   1.988047e-08   6.315099e-03   6.685617e-10   1038
  6.364107e-01   2.091581e-08   4.946499e-03   6.662895e-10   936
  6.576805e-01   2.084883e-08   5.779873e-03   5.868771e-10   1130
  6.769590e-01   2.168903e-08   5.367484e-03   6.559564e-10   1104
  6.981214e-01   2.298472e-08   5.967700e-03   6.714140e-10   1230
  7.174733e-01   2.426133e-08   6.064625e-03   6.885955e-10   1260
  7.371340e-01   2.320657e-08   5.239623e-03   6.321343e-10   1286
  7.593700e-01   2.253532e-08   6.358524e-03   5.491040e-10   1728
  7.804400e-01   2.460981e-08   5.625004e-03   6.679853e-10   1392
  8.004657e-01   2.438277e-08   5.348641e-03   6.152138e-10   1626
