# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   7.029562e+00   9.900990e-03   5.996492e+00   0.000000e+00   0.000000e+00
      1   7.123312e+00   1.012801e-02   5.926992e+00   0.000000e+00   0.000000e+00
      2   7.217062e+00   1.035752e-02   5.859125e+00   0.000000e+00   0.000000e+00
      3   7.310812e+00   1.058954e-02   5.792832e+00   0.000000e+00   0.000000e+00
      4   7.404562e+00   1.082405e-02   5.728059e+00   0.000000e+00   0.000000e+00
      5   7.498312e+00   1.106107e-02   5.664753e+00   0.000000e+00   0.000000e+00
      6   7.592062e+00   1.130058e-02   5.602863e+00   0.000000e+00   0.000000e+00
      7   7.685812e+00   1.154260e-02   5.542341e+00   0.000000e+00   0.000000e+00
      8   7.779562e+00   1.178711e-02   5.483143e+00   0.000000e+00   0.000000e+00
      9   7.873312e+00   1.203413e-02   5.425223e+00   0.000000e+00   0.000000e+00
     10   7.967062e+00   1.228364e-02   5.368541e+00   0.000000e+00   0.000000e+00
     11   8.060812e+00   1.253566e-02   5.313055e+00   0.000000e+00   0.000000e+00
     12   8.154562e+00   1.279017e-02   5.258729e+00   0.000000e+00   0.000000e+00
     13   8.248312e+00   1.304719e-02   5.205525e+00   0.000000e+00   0.000000e+00
     14   8.342062e+00   1.330670e-02   5.153408e+00   0.000000e+00   0.000000e+00
     15   8.435812e+00   1.356871e-02   5.102346e+00   0.000000e+00   0.000000e+00
     16   8.529562e+00   1.383323e-02   5.052304e+00   0.000000e+00   0.000000e+00
     17   8.623312e+00   1.410024e-02   5.003254e+00   0.000000e+00   0.000000e+00
     18   8.717062e+00   1.436976e-02   4.955164e+00   0.000000e+00   0.000000e+00
     19   8.810812e+00   1.464177e-02   4.908007e+00   0.000000e+00   0.000000e+00
     20   8.904562e+00   1.491628e-02   4.861756e+00   0.000000e+00   0.000000e+00
     21   8.998312e+00   1.519330e-02   4.816383e+00   0.000000e+00   0.000000e+00
     22   9.092062e+00   1.547281e-02   4.771864e+00   0.000000e+00   0.000000e+00
     23   9.185812e+00   1.575482e-02   4.728175e+00   0.000000e+00   0.000000e+00
     24   9.279562e+00   1.603934e-02   4.685293e+00   0.000000e+00   0.000000e+00
     25   9.373312e+00   1.632635e-02   4.643194e+00   0.000000e+00   0.000000e+00
     26   9.467062e+00   1.661586e-02   4.601857e+00   0.000000e+00   0.000000e+00
     27   9.560812e+00   1.690787e-02   4.561262e+00   0.000000e+00   0.000000e+00
     28   9.654562e+00   1.720239e-02   4.521388e+00   0.000000e+00   0.000000e+00
     29   9.748312e+00   1.749940e-02   4.482216e+00   0.000000e+00   0.000000e+00
     30   9.842062e+00   1.779891e-02   4.443727e+00   0.000000e+00   0.000000e+00
     31   9.935812e+00   1.810092e-02   4.405904e+00   0.000000e+00   0.000000e+00
     32   1.002956e+01   1.840544e-02   4.368728e+00   0.000000e+00   0.000000e+00
     33   1.012331e+01   1.871245e-02   4.332185e+00   0.000000e+00   0.000000e+00
     34   1.021706e+01   1.902196e-02   4.296256e+00   0.000000e+00   0.000000e+00
     35   1.031081e+01   1.933397e-02   4.260927e+00   0.000000e+00   0.000000e+00
     36   1.040456e+01   1.964848e-02   4.226182e+00   0.000000e+00   0.000000e+00
     37   1.049831e+01   1.996550e-02   4.192007e+00   0.000000e+00   0.000000e+00
     38   1.059206e+01   2.028501e-02   4.158388e+00   0.000000e+00   0.000000e+00
     39   1.068581e+01   2.060702e-02   4.125312e+00   0.000000e+00   0.000000e+00
     40   1.077956e+01   2.093153e-02   4.092764e+00   0.000000e+00   0.000000e+00
     41   1.087331e+01   2.125855e-02   4.060732e+00   0.000000e+00   0.000000e+00
     42   1.096706e+01   2.158806e-02   4.029205e+00   0.000000e+00   0.000000e+00
     43   1.106081e+01   2.192007e-02   3.998170e+00   0.000000e+00   0.000000e+00
     44   1.115456e+01   2.225458e-02   3.967615e+00   0.000000e+00   0.000000e+00
     45   1.124831e+01   2.259159e-02   3.937529e+00   0.000000e+00   0.000000e+00
     46   1.134206e+01   2.293111e-02   3.907902e+00   0.000000e+00   0.000000e+00
     47   1.143581e+01   2.327312e-02   3.878723e+00   0.000000e+00   0.000000e+00
     48   1.152956e+01   2.361763e-02   3.849981e+00   0.000000e+00   0.000000e+00
     49   1.162331e+01   2.396464e-02   3.821667e+00   0.000000e+00   0.000000e+00
     50   1.171706e+01   2.431416e-02   3.793772e+00   0.000000e+00   0.000000e+00
     51   1.181081e+01   2.466617e-02   3.766285e+00   0.000000e+00   0.000000e+00
     52   1.190456e+01   2.502068e-02   3.739199e+00   0.000000e+00   0.000000e+00
     53   1.199831e+01   2.537769e-02   3.712503e+00   0.000000e+00   0.000000e+00
     54   1.209206e+01   2.573721e-02   3.686191e+00   0.000000e+00   0.000000e+00
     55   1.218581e+01   2.609922e-02   3.660253e+00   0.000000e+00   0.000000e+00
     56   1.227956e+01   2.646373e-02   3.634681e+00   0.000000e+00   0.000000e+00
     57   1.237331e+01   2.683075e-02   3.609468e+00   0.000000e+00   0.000000e+00
     58   1.246706e+01   2.720026e-02   3.584606e+00   0.000000e+00   0.000000e+00
     59   1.256081e+01   2.757227e-02   3.560087e+00   0.000000e+00   0.000000e+00
     60   1.265456e+01   2.794679e-02   3.535906e+00   0.000000e+00   0.000000e+00
     61   1.274831e+01   2.832380e-02   3.512054e+00   0.000000e+00   0.000000e+00
     62   1.284206e+01   2.870332e-02   3.488525e+00   0.000000e+00   0.000000e+00
     63   1.293581e+01   2.908533e-02   3.465312e+00   0.000000e+00   0.000000e+00
     64   1.302956e+01   2.946985e-02   3.442409e+00   0.000000e+00   0.000000e+00
     65   1.312331e+01   2.985686e-02   3.419810e+00   0.000000e+00   0.000000e+00
     66   1.321706e+01   3.024638e-02   3.397508e+00   0.000000e+00   0.000000e+00
