# power spectrum of omega (curl v)
# redshift z=0.425100
# k              Pk             sigma(k)       sigma(Pk)      count
  5.167109e-02   1.298428e-16   1.693076e-05   2.204054e-17   6
  7.307396e-02   5.087724e-16   0.000000e+00   7.084133e-17   12
  9.543063e-02   2.853631e-15   6.851560e-03   6.849107e-16   14
  1.210540e-01   7.798464e-15   5.513588e-03   6.629423e-16   48
  1.524803e-01   3.077862e-14   4.005064e-03   2.766037e-15   42
  1.673860e-01   6.457856e-14   3.987272e-03   6.506711e-15   48
  1.897915e-01   9.888839e-14   4.780100e-03   7.265465e-15   80
  2.150919e-01   2.789943e-13   3.711353e-03   1.725833e-14   90
  2.344483e-01   3.548936e-13   5.827848e-03   2.103483e-14   120
  2.619469e-01   7.786976e-13   4.897654e-03   4.902327e-14   158
  2.801601e-01   1.194682e-12   2.324249e-03   8.474202e-14   120
  3.021033e-01   1.428408e-12   5.194979e-03   7.277905e-14   186
  3.263478e-01   2.505974e-12   7.104259e-03   1.048810e-13   264
  3.460484e-01   3.232189e-12   3.835370e-03   2.050789e-13   168
  3.711847e-01   5.541339e-12   6.854707e-03   2.105055e-13   386
  3.922192e-01   6.767725e-12   4.147837e-03   3.505047e-13   192
  4.129151e-01   8.841527e-12   6.800624e-03   3.258043e-13   390
  4.361657e-01   1.139824e-11   7.120246e-03   3.786648e-13   396
  4.580089e-01   1.608553e-11   7.064082e-03   5.835448e-13   398
  4.820215e-01   2.192836e-11   6.923992e-03   6.832927e-13   576
  5.056520e-01   2.840129e-11   7.024453e-03   1.064919e-12   444
  5.263213e-01   3.266406e-11   6.337769e-03   9.574446e-13   590
  5.498572e-01   4.372176e-11   6.940338e-03   1.243999e-12   648
  5.728135e-01   5.381223e-11   6.142360e-03   1.538899e-12   654
  5.932093e-01   6.706045e-11   5.094857e-03   1.943753e-12   636
  6.160086e-01   7.401757e-11   7.638490e-03   2.010602e-12   830
  6.374011e-01   9.231658e-11   5.498339e-03   2.276147e-12   792
  6.592753e-01   1.028579e-10   5.654942e-03   2.571435e-12   804
  6.816774e-01   1.249066e-10   6.979494e-03   2.737686e-12   1038
  7.033658e-01   1.481356e-10   5.466907e-03   3.502881e-12   936
  7.268733e-01   1.656689e-10   6.387959e-03   3.859643e-12   1130
  7.481801e-01   1.964634e-10   5.932183e-03   4.215825e-12   1104
  7.715689e-01   2.111020e-10   6.595546e-03   4.150576e-12   1230
  7.929568e-01   2.689045e-10   6.702668e-03   5.195940e-12   1260
  8.146859e-01   2.972690e-10   5.790870e-03   6.024502e-12   1286
  8.392614e-01   3.267517e-10   7.027488e-03   5.381544e-12   1728
  8.625481e-01   3.733382e-10   6.216797e-03   7.559037e-12   1392
  8.846806e-01   4.408506e-10   5.911357e-03   7.983120e-12   1626
  9.073659e-01   4.762517e-10   6.975646e-03   8.296778e-12   1760
  9.301438e-01   5.347085e-10   5.768668e-03   9.173009e-12   1686
  9.516169e-01   5.976520e-10   5.867806e-03   1.056442e-11   1812
  9.735730e-01   6.443241e-10   6.757624e-03   1.095694e-11   1862
  9.960117e-01   7.172654e-10   6.008412e-03   1.097942e-11   2160
  1.018588e+00   7.820852e-10   6.151975e-03   1.355049e-11   1956
  1.041303e+00   8.654653e-10   6.903365e-03   1.269029e-11   2454
  1.063469e+00   9.284028e-10   5.390687e-03   1.471407e-11   2048
  1.085716e+00   1.013252e-09   7.021702e-03   1.444988e-11   2538
  1.107675e+00   1.139500e-09   5.880830e-03   1.742566e-11   2400
  1.129871e+00   1.184674e-09   7.006632e-03   1.662937e-11   2526
  1.152016e+00   1.299203e-09   6.936203e-03   1.776641e-11   2856
  1.175115e+00   1.426424e-09   6.479715e-03   2.014370e-11   2804
  1.197929e+00   1.544777e-09   6.765387e-03   2.083218e-11   2958
  1.219641e+00   1.602100e-09   6.562093e-03   2.113095e-11   2976
  1.242553e+00   1.760709e-09   6.566272e-03   2.270386e-11   3194
  1.264005e+00   1.855810e-09   6.547194e-03   2.420284e-11   3120
  1.287240e+00   2.042242e-09   6.662242e-03   2.485455e-11   3606
  1.309415e+00   2.087801e-09   6.055094e-03   2.620057e-11   3276
  1.331019e+00   2.285146e-09   6.832617e-03   2.720721e-11   3600
  1.353243e+00   2.367202e-09   6.012754e-03   2.814170e-11   3638
  1.374639e+00   2.539532e-09   6.427617e-03   3.120470e-11   3744
  1.397786e+00   2.727503e-09   6.656328e-03   3.068275e-11   4170
  1.419913e+00   2.818952e-09   6.280159e-03   3.268992e-11   3984
  1.442450e+00   3.045080e-09   6.398795e-03   3.239061e-11   4334
  1.464688e+00   3.082304e-09   5.862740e-03   3.205586e-11   4284
  1.486648e+00   3.232914e-09   7.056911e-03   3.558822e-11   4374
  1.509609e+00   3.359111e-09   6.266138e-03   3.327243e-11   5016
  1.532223e+00   3.620012e-09   6.114444e-03   3.815129e-11   4580
  1.554765e+00   3.701163e-09   7.126587e-03   3.605135e-11   5142
  1.577761e+00   3.904539e-09   6.899001e-03   3.791011e-11   5184
  1.600276e+00   4.110031e-09   5.378114e-03   4.094394e-11   5058
  1.621911e+00   4.302948e-09   6.378778e-03   4.194190e-11   5384
  1.645046e+00   4.567027e-09   7.210982e-03   4.268659e-11   5622
  1.667363e+00   4.666391e-09   6.086225e-03   4.426384e-11   5736
  1.689585e+00   4.685193e-09   5.511329e-03   4.442976e-11   5596
  1.711912e+00   4.960513e-09   6.912922e-03   4.496852e-11   6070
  1.734056e+00   5.188859e-09   5.354098e-03   4.790546e-11   6096
  1.757161e+00   5.339102e-09   6.592580e-03   4.817548e-11   6474
  1.778536e+00   5.579832e-09   6.385081e-03   5.016540e-11   6024
  1.801398e+00   5.738915e-09   6.368825e-03   4.932782e-11   7070
  1.824047e+00   5.924003e-09   5.220653e-03   5.217039e-11   6516
  1.845773e+00   6.123141e-09   6.331116e-03   5.102907e-11   6936
  1.868452e+00   6.338410e-09   6.288214e-03   5.190295e-11   7110
  1.890389e+00   6.521932e-09   4.725690e-03   5.460899e-11   7244
  1.913597e+00   6.681789e-09   6.849521e-03   5.322654e-11   7878
  1.936074e+00   7.004079e-09   6.679112e-03   5.656405e-11   7344
  1.957840e+00   7.268065e-09   6.902792e-03   5.929211e-11   7694
  1.980517e+00   7.313976e-09   6.684202e-03   5.651333e-11   8412
  2.003290e+00   7.512329e-09   6.920777e-03   6.022161e-11   7920
  2.024934e+00   7.715897e-09   5.844710e-03   5.966616e-11   8118
  2.046965e+00   7.921691e-09   6.784114e-03   6.213193e-11   8548
  2.069377e+00   8.211745e-09   6.886832e-03   6.190255e-11   8710
  2.091602e+00   8.317181e-09   6.061818e-03   6.069436e-11   8928
  2.114418e+00   8.539904e-09   6.425934e-03   6.318642e-11   9186
  2.136304e+00   8.637219e-09   7.176122e-03   6.386514e-11   9200
  2.158866e+00   8.981634e-09   6.293647e-03   6.449389e-11   9438
  2.180862e+00   9.293267e-09   8.718457e-03   6.869034e-11   9564
  2.203470e+00   9.641308e-09   6.634452e-03   6.755722e-11   10296
  2.226614e+00   9.660681e-09   5.853483e-03   6.831681e-11   10126
  2.248296e+00   9.765999e-09   7.262133e-03   6.931040e-11   10024
  2.271358e+00   1.026779e-08   5.122609e-03   6.870254e-11   11082
  2.294000e+00   1.026763e-08   7.939084e-03   7.042840e-11   10632
  2.316131e+00   1.063598e-08   5.783461e-03   7.437374e-11   10734
  2.338489e+00   1.053035e-08   6.954415e-03   7.098591e-11   11276
  2.360839e+00   1.096423e-08   6.303271e-03   7.414662e-11   11352
  2.383396e+00   1.114048e-08   6.479782e-03   7.331391e-11   11550
  2.405538e+00   1.159118e-08   6.025506e-03   7.518709e-11   11772
  2.428007e+00   1.156231e-08   7.660020e-03   7.348422e-11   12038
  2.450201e+00   1.189431e-08   9.332218e-03   7.723399e-11   12096
  2.472702e+00   1.206615e-08   7.500260e-03   7.541907e-11   12582
  2.494955e+00   1.230711e-08   2.004609e-03   7.883778e-11   12620
  2.517718e+00   1.256644e-08   7.922150e-03   7.757616e-11   13320
  2.539997e+00   1.277017e-08   7.093865e-03   8.123788e-11   12654
  2.561848e+00   1.285621e-08   1.413863e-03   8.002059e-11   13236
  2.584027e+00   1.307307e-08   1.029625e-02   7.916817e-11   13438
  2.606438e+00   1.318536e-08   1.006201e-02   7.644790e-11   14344
  2.629661e+00   1.363476e-08   6.369978e-03   8.073551e-11   14226
  2.651603e+00   1.385832e-08   5.102242e-03   8.302652e-11   14088
  2.673833e+00   1.407392e-08   0.000000e+00   8.294652e-11   14328
  2.696115e+00   1.424816e-08   6.864324e-03   8.331033e-11   14954
  2.718701e+00   1.453381e-08   5.488578e-03   8.455947e-11   15480
  2.741376e+00   1.454434e-08   7.320045e-03   8.447406e-11   14862
  2.762860e+00   1.490649e-08   8.811750e-03   8.582616e-11   15296
