# power spectrum of omega (curl v)
# redshift z=0.522400
# k              Pk             sigma(k)       sigma(Pk)      count
  3.296984e-02   1.024643e-17   5.044698e-03   2.006217e-18   18
  5.763401e-02   1.671894e-16   6.101518e-03   1.920839e-17   62
  8.021500e-02   9.776364e-16   4.220981e-03   8.234214e-17   90
  1.015929e-01   3.391486e-15   6.661592e-03   1.681499e-16   170
  1.238408e-01   1.230536e-14   6.924022e-03   5.831498e-16   246
  1.455653e-01   2.780266e-14   6.601001e-03   1.232242e-15   338
  1.670045e-01   6.253294e-14   5.675008e-03   2.110443e-15   432
  1.890860e-01   1.343207e-13   5.814033e-03   3.974319e-15   578
  2.126531e-01   2.561834e-13   6.950299e-03   6.632621e-15   810
  2.364171e-01   4.666857e-13   6.650931e-03   1.115741e-14   950
  2.584110e-01   8.429100e-13   5.937311e-03   1.929870e-14   1002
  2.804014e-01   1.320569e-12   6.790366e-03   2.611784e-14   1334
  3.026544e-01   2.009119e-12   6.359237e-03   3.926298e-14   1410
  3.238383e-01   2.918501e-12   6.353415e-03   5.102263e-14   1652
  3.459805e-01   4.133726e-12   6.270062e-03   6.793380e-14   1974
  3.687015e-01   5.517068e-12   6.145597e-03   8.223473e-14   2234
  3.914852e-01   7.484455e-12   6.465304e-03   1.019949e-13   2554
  4.146404e-01   1.078498e-11   6.766617e-03   1.432638e-13   2950
  4.373171e-01   1.418342e-11   6.333753e-03   1.809518e-13   3042
  4.593379e-01   1.780825e-11   6.459188e-03   2.210348e-13   3422
  4.812041e-01   2.288590e-11   6.233806e-03   2.752208e-13   3618
  5.032209e-01   2.899774e-11   6.489853e-03   3.109635e-13   4172
  5.256126e-01   3.515023e-11   6.278215e-03   3.871866e-13   4470
  5.481222e-01   4.521469e-11   6.415795e-03   4.535787e-13   4970
  5.707131e-01   5.552131e-11   6.445533e-03   5.414082e-13   5334
  5.933173e-01   6.801072e-11   6.620458e-03   6.483419e-13   5810
  6.156523e-01   7.907034e-11   6.578023e-03   7.063676e-13   6114
  6.381341e-01   9.563351e-11   6.702829e-03   8.329477e-13   6782
  6.600508e-01   1.110087e-10   6.114761e-03   9.674141e-13   6684
  6.817733e-01   1.260781e-10   6.320015e-03   1.034789e-12   7574
  7.042989e-01   1.528974e-10   6.383283e-03   1.182827e-12   8154
  7.267523e-01   1.756489e-10   6.350446e-03   1.339050e-12   8618
  7.495802e-01   2.000835e-10   6.655359e-03   1.446452e-12   9494
  7.721958e-01   2.346903e-10   6.420657e-03   1.697335e-12   9618
  7.945082e-01   2.679531e-10   6.522732e-03   1.917938e-12   10306
  8.169314e-01   2.999564e-10   6.582267e-03   2.019302e-12   10942
  8.392838e-01   3.360022e-10   6.426710e-03   2.192136e-12   11452
  8.616156e-01   3.819104e-10   6.314015e-03   2.426354e-12   12046
  8.837539e-01   4.265424e-10   6.203919e-03   2.705366e-12   12522
  9.061496e-01   4.705427e-10   6.484290e-03   2.885327e-12   13562
  9.287321e-01   5.274368e-10   6.598088e-03   3.112079e-12   14182
  9.513437e-01   5.796981e-10   6.662158e-03   3.353749e-12   14986
  9.735647e-01   6.417261e-10   6.336365e-03   3.695469e-12   14982
  9.957420e-01   6.901770e-10   6.586886e-03   3.771414e-12   16388
  1.018091e+00   7.625172e-10   6.328859e-03   4.193717e-12   16626
  1.040289e+00   8.278057e-10   6.420279e-03   4.493818e-12   17678
  1.062665e+00   9.122101e-10   6.320822e-03   4.849878e-12   18354
  1.084952e+00   9.836685e-10   6.374281e-03   5.041291e-12   19034
  1.107316e+00   1.064509e-09   6.533602e-03   5.341966e-12   20142
  1.130052e+00   1.152701e-09   6.683525e-03   5.626547e-12   21386
  1.152535e+00   1.245366e-09   6.399747e-03   5.991492e-12   21318
  1.174826e+00   1.343065e-09   6.466397e-03   6.329912e-12   22676
  1.197287e+00   1.433259e-09   6.400053e-03   6.689483e-12   23322
  1.219569e+00   1.546902e-09   6.320268e-03   7.081327e-12   24134
  1.241897e+00   1.647355e-09   6.431744e-03   7.305605e-12   25146
  1.264263e+00   1.737896e-09   6.401452e-03   7.717476e-12   26030
  1.286511e+00   1.849753e-09   6.436689e-03   8.120104e-12   26674
  1.309005e+00   1.980767e-09   6.617025e-03   8.280853e-12   28570
  1.331328e+00   2.113813e-09   6.394995e-03   8.908636e-12   28224
  1.353730e+00   2.249627e-09   6.612954e-03   9.064716e-12   30626
  1.376139e+00   2.357175e-09   6.188716e-03   9.605456e-12   30158
  1.398198e+00   2.477061e-09   6.341847e-03   9.832401e-12   31674
  1.420633e+00   2.604329e-09   6.552335e-03   1.017813e-11   33306
  1.442956e+00   2.753979e-09   6.347056e-03   1.070218e-11   33422
  1.465264e+00   2.878122e-09   6.513108e-03   1.088082e-11   35298
  1.487916e+00   3.080314e-09   6.516416e-03   1.132571e-11   36650
  1.510372e+00   3.208738e-09   6.454814e-03   1.196164e-11   36992
  1.532811e+00   3.335972e-09   6.513536e-03   1.192024e-11   38730
  1.555258e+00   3.505610e-09   6.353885e-03   1.258128e-11   39246
  1.577568e+00   3.652368e-09   6.455390e-03   1.279978e-11   40466
  1.599767e+00   3.849705e-09   6.293773e-03   1.349402e-11   41170
  1.622137e+00   4.007315e-09   6.567546e-03   1.364991e-11   43534
  1.644564e+00   4.154793e-09   6.325250e-03   1.419935e-11   43650
  1.666806e+00   4.317054e-09   6.402960e-03   1.447671e-11   45272
  1.689341e+00   4.474488e-09   6.516762e-03   1.456181e-11   47098
  1.711828e+00   4.676576e-09   6.404451e-03   1.512146e-11   47746
  1.734150e+00   4.856797e-09   6.444169e-03   1.573307e-11   48870
  1.756360e+00   5.082113e-09   6.286874e-03   1.621112e-11   49682
  1.778525e+00   5.229948e-09   6.326647e-03   1.635184e-11   51222
  1.800935e+00   5.453469e-09   6.557316e-03   1.676602e-11   53378
  1.823276e+00   5.640063e-09   6.301611e-03   1.722420e-11   53634
  1.845811e+00   5.837508e-09   6.634337e-03   1.727061e-11   56888
  1.868406e+00   6.009051e-09   6.395733e-03   1.789899e-11   56650
  1.890835e+00   6.201121e-09   6.537955e-03   1.816081e-11   58786
  1.913211e+00   6.419891e-09   6.361015e-03   1.865274e-11   59214
  1.935520e+00   6.552212e-09   6.586702e-03   1.900173e-11   61250
  1.957781e+00   6.800332e-09   6.392870e-03   1.951179e-11   61686
  1.979969e+00   6.975050e-09   6.414087e-03   1.957002e-11   63626
  2.002425e+00   7.172078e-09   6.533519e-03   1.967651e-11   66204
  2.024979e+00   7.382277e-09   6.549144e-03   2.011497e-11   67094
  2.047324e+00   7.527435e-09   6.403473e-03   2.062054e-11   67890
  2.069704e+00   7.784159e-09   6.363893e-03   2.093170e-11   70334
  2.092058e+00   8.040415e-09   6.261740e-03   2.145471e-11   70626
  2.114244e+00   8.202679e-09   6.521481e-03   2.165336e-11   72554
  2.136583e+00   8.410161e-09   6.543186e-03   2.183802e-11   74550
  2.158931e+00   8.590318e-09   6.418309e-03   2.209369e-11   75674
  2.181263e+00   8.838530e-09   6.374257e-03   2.255087e-11   77564
  2.203870e+00   8.964331e-09   6.555676e-03   2.228027e-11   80766
  2.226373e+00   9.219190e-09   6.321106e-03   2.300059e-11   80202
  2.248753e+00   9.467519e-09   6.417816e-03   2.324325e-11   83102
  2.271187e+00   9.643149e-09   6.446404e-03   2.349022e-11   83890
  2.293506e+00   9.897977e-09   6.479320e-03   2.392856e-11   85522
  2.315740e+00   1.005315e-08   6.286742e-03   2.402284e-11   86670
  2.338062e+00   1.026320e-08   6.387814e-03   2.436655e-11   89588
  2.360532e+00   1.051397e-08   6.556601e-03   2.466426e-11   91038
  2.382934e+00   1.073977e-08   6.400576e-03   2.479449e-11   92522
  2.405285e+00   1.095463e-08   6.335531e-03   2.532221e-11   94242
  2.427820e+00   1.116549e-08   6.570514e-03   2.540430e-11   97550
  2.450162e+00   1.139786e-08   6.600388e-03   2.608754e-11   96250
  2.472297e+00   1.161288e-08   6.503870e-03   2.608265e-11   99166
  2.494559e+00   1.182938e-08   6.296719e-03   2.626081e-11   100932
  2.516987e+00   1.208490e-08   6.590075e-03   2.630449e-11   104306
  2.539456e+00   1.226777e-08   6.528307e-03   2.663768e-11   104990
  2.561902e+00   1.256170e-08   6.304007e-03   2.714664e-11   107874
  2.584334e+00   1.273956e-08   5.965259e-03   2.748854e-11   108322
  2.606698e+00   1.299380e-08   5.813438e-03   2.750682e-11   111454
  2.629068e+00   1.318978e-08   6.335760e-03   2.782928e-11   112002
  2.651317e+00   1.340352e-08   6.410989e-03   2.825537e-11   114158
  2.673611e+00   1.357866e-08   6.286844e-03   0.000000e+00   116148
  2.695991e+00   1.380513e-08   6.537826e-03   0.000000e+00   118754
  2.718416e+00   1.404783e-08   6.575794e-03   0.000000e+00   120942
  2.740900e+00   1.419201e-08   6.342240e-03   0.000000e+00   123170
  2.763262e+00   1.445122e-08   6.650969e-03   0.000000e+00   123638
  2.785600e+00   1.470915e-08   6.153599e-03   0.000000e+00   126858
  2.807914e+00   1.488870e-08   6.469362e-03   0.000000e+00   127698
  2.830202e+00   1.514295e-08   6.499720e-03   0.000000e+00   130640
  2.852586e+00   1.527387e-08   6.438107e-03   0.000000e+00   132642
  2.874952e+00   1.556293e-08   6.352714e-03   0.000000e+00   134534
  2.897404e+00   1.572781e-08   6.450292e-03   0.000000e+00   137954
  2.919986e+00   1.602470e-08   6.404556e-03   0.000000e+00   140610
  2.942360e+00   1.620685e-08   6.521873e-03   0.000000e+00   139590
  2.964634e+00   1.634080e-08   6.591979e-03   0.000000e+00   143546
  2.987021e+00   1.661704e-08   6.217266e-03   0.000000e+00   145338
  3.009339e+00   1.676883e-08   6.480654e-03   0.000000e+00   147272
  3.031731e+00   1.694273e-08   6.564942e-03   0.000000e+00   150434
  3.054162e+00   1.721748e-08   6.277015e-03   0.000000e+00   152214
  3.076475e+00   1.741680e-08   6.504696e-03   0.000000e+00   153186
  3.098915e+00   1.760552e-08   6.609780e-03   0.000000e+00   158642
  3.121323e+00   1.778931e-08   6.021968e-03   0.000000e+00   157350
  3.143640e+00   1.805233e-08   6.436672e-03   0.000000e+00   161906
  3.165888e+00   1.813457e-08   6.311708e-03   0.000000e+00   160824
  3.188240e+00   1.838180e-08   6.985667e-03   0.000000e+00   167906
  3.210725e+00   1.863367e-08   6.372774e-03   0.000000e+00   167578
  3.233024e+00   1.881102e-08   6.370745e-03   0.000000e+00   169798
  3.255417e+00   1.903782e-08   6.490887e-03   0.000000e+00   173586
  3.277853e+00   1.918992e-08   6.621414e-03   0.000000e+00   175274
  3.300233e+00   1.940728e-08   6.588123e-03   0.000000e+00   177654
