# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   3.514781e+00   9.900990e-03   5.996492e+00   0.000000e+00   0.000000e+00
      1   3.561656e+00   1.012801e-02   5.926992e+00   0.000000e+00   0.000000e+00
      2   3.608531e+00   1.035752e-02   5.859125e+00   0.000000e+00   0.000000e+00
      3   3.655406e+00   1.058954e-02   5.792832e+00   0.000000e+00   0.000000e+00
      4   3.702281e+00   1.082405e-02   5.728059e+00   0.000000e+00   0.000000e+00
      5   3.749156e+00   1.106107e-02   5.664753e+00   0.000000e+00   0.000000e+00
      6   3.796031e+00   1.130058e-02   5.602863e+00   0.000000e+00   0.000000e+00
      7   3.842906e+00   1.154260e-02   5.542341e+00   0.000000e+00   0.000000e+00
      8   3.889781e+00   1.178711e-02   5.483143e+00   0.000000e+00   0.000000e+00
      9   3.936656e+00   1.203413e-02   5.425223e+00   0.000000e+00   0.000000e+00
     10   3.983531e+00   1.228364e-02   5.368541e+00   0.000000e+00   0.000000e+00
     11   4.030406e+00   1.253566e-02   5.313055e+00   0.000000e+00   0.000000e+00
     12   4.077281e+00   1.279017e-02   5.258729e+00   0.000000e+00   0.000000e+00
     13   4.124156e+00   1.304719e-02   5.205525e+00   0.000000e+00   0.000000e+00
     14   4.171031e+00   1.330670e-02   5.153408e+00   0.000000e+00   0.000000e+00
     15   4.217906e+00   1.356871e-02   5.102346e+00   0.000000e+00   0.000000e+00
     16   4.264781e+00   1.383323e-02   5.052304e+00   0.000000e+00   0.000000e+00
     17   4.311656e+00   1.410024e-02   5.003254e+00   0.000000e+00   0.000000e+00
     18   4.358531e+00   1.436976e-02   4.955164e+00   0.000000e+00   0.000000e+00
     19   4.405406e+00   1.464177e-02   4.908007e+00   0.000000e+00   0.000000e+00
     20   4.452281e+00   1.491628e-02   4.861756e+00   0.000000e+00   0.000000e+00
     21   4.499156e+00   1.519330e-02   4.816383e+00   0.000000e+00   0.000000e+00
     22   4.546031e+00   1.547281e-02   4.771864e+00   0.000000e+00   0.000000e+00
     23   4.592906e+00   1.575482e-02   4.728175e+00   0.000000e+00   0.000000e+00
     24   4.639781e+00   1.603934e-02   4.685293e+00   0.000000e+00   0.000000e+00
     25   4.686656e+00   1.632635e-02   4.643194e+00   0.000000e+00   0.000000e+00
     26   4.733531e+00   1.661586e-02   4.601857e+00   0.000000e+00   0.000000e+00
     27   4.780406e+00   1.690787e-02   4.561262e+00   0.000000e+00   0.000000e+00
     28   4.827281e+00   1.720239e-02   4.521388e+00   0.000000e+00   0.000000e+00
     29   4.874156e+00   1.749940e-02   4.482216e+00   0.000000e+00   0.000000e+00
     30   4.921031e+00   1.779891e-02   4.443727e+00   0.000000e+00   0.000000e+00
     31   4.967906e+00   1.810092e-02   4.405904e+00   0.000000e+00   0.000000e+00
     32   5.014781e+00   1.840544e-02   4.368728e+00   0.000000e+00   0.000000e+00
     33   5.061656e+00   1.871245e-02   4.332185e+00   0.000000e+00   0.000000e+00
     34   5.108531e+00   1.902196e-02   4.296256e+00   0.000000e+00   0.000000e+00
     35   5.155406e+00   1.933397e-02   4.260927e+00   0.000000e+00   0.000000e+00
