# power spectrum of velocity
# redshift z=1.900000
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   4.871593e-07   4.792449e-03   3.700127e-08   18
  5.475214e-02   5.798437e-07   5.796424e-03   1.903000e-08   62
  7.620402e-02   6.292745e-07   4.009919e-03   1.778892e-08   90
  9.651299e-02   5.288940e-07   6.328493e-03   1.220910e-08   170
  1.176484e-01   4.642193e-07   6.577801e-03   9.876604e-09   246
  1.382866e-01   4.651733e-07   6.270931e-03   9.740080e-09   338
  1.586538e-01   4.022648e-07   5.391241e-03   8.701151e-09   432
  1.796311e-01   3.896284e-07   5.523314e-03   7.974150e-09   578
  2.020199e-01   3.515026e-07   6.602764e-03   6.906097e-09   810
  2.245955e-01   3.066548e-07   6.318365e-03   6.305526e-09   950
  2.454897e-01   2.991718e-07   5.640429e-03   6.148648e-09   1002
  2.663805e-01   2.803000e-07   6.450828e-03   5.290877e-09   1334
  2.875208e-01   2.621693e-07   6.041257e-03   5.054036e-09   1410
  3.076455e-01   2.432991e-07   6.035725e-03   4.495348e-09   1652
  3.286805e-01   2.251291e-07   5.956541e-03   4.106172e-09   1974
  3.502653e-01   2.149797e-07   5.838300e-03   3.761411e-09   2234
  3.719097e-01   2.088553e-07   6.142020e-03   3.498046e-09   2554
  3.939072e-01   1.847664e-07   6.428266e-03   3.011859e-09   2950
  4.154499e-01   1.736396e-07   6.017047e-03   2.846272e-09   3042
  4.363697e-01   1.615672e-07   6.136210e-03   2.604840e-09   3422
  4.571424e-01   1.590501e-07   5.922097e-03   2.462632e-09   3618
  4.780583e-01   1.495579e-07   6.165341e-03   2.237326e-09   4172
  4.993304e-01   1.470202e-07   5.964286e-03   2.184296e-09   4470
  5.207145e-01   1.398640e-07   6.094986e-03   1.971092e-09   4970
  5.421758e-01   1.371000e-07   6.123238e-03   1.834796e-09   5334
  5.636497e-01   1.255008e-07   6.289416e-03   1.598149e-09   5810
  5.848679e-01   1.247216e-07   6.249102e-03   1.550708e-09   6114
  6.062256e-01   1.160490e-07   6.367668e-03   1.371015e-09   6782
  6.270463e-01   1.149804e-07   5.809005e-03   1.379925e-09   6684
  6.476827e-01   1.078864e-07   6.003995e-03   1.243190e-09   7574
  6.690819e-01   1.057241e-07   6.064100e-03   1.155914e-09   8154
  6.904126e-01   1.001944e-07   6.032905e-03   1.061722e-09   8618
  7.120990e-01   9.723958e-08   6.322572e-03   9.797246e-10   9494
  7.335837e-01   9.467435e-08   6.099605e-03   9.554246e-10   9618
  7.547804e-01   9.123774e-08   6.196577e-03   8.936077e-10   10306
  7.760825e-01   8.763188e-08   6.253134e-03   8.269956e-10   10942
  7.973171e-01   8.563840e-08   6.105356e-03   7.912642e-10   11452
  8.185323e-01   8.194310e-08   5.998296e-03   7.407901e-10   12046
  8.395636e-01   7.799949e-08   5.893705e-03   6.939069e-10   12522
  8.608395e-01   7.721150e-08   6.160057e-03   6.720112e-10   13562
  8.822927e-01   7.543660e-08   6.268164e-03   6.374639e-10   14182
  9.037737e-01   7.234648e-08   6.329031e-03   5.857997e-10   14986
  9.248837e-01   7.138285e-08   6.019528e-03   5.916547e-10   14982
  9.459520e-01   6.813522e-08   6.257522e-03   5.297879e-10   16388
  9.671835e-01   6.760890e-08   6.012397e-03   5.256797e-10   16626
  9.882712e-01   6.499804e-08   6.099246e-03   5.013482e-10   17678
  1.009529e+00   6.318529e-08   6.004762e-03   4.643535e-10   18354
  1.030701e+00   6.114905e-08   6.055548e-03   4.446651e-10   19034
  1.051947e+00   5.933543e-08   6.206903e-03   4.169103e-10   20142
  1.073546e+00   5.797922e-08   6.349329e-03   3.986123e-10   21386
  1.094905e+00   5.760328e-08   6.079741e-03   3.926394e-10   21318
  1.116082e+00   5.460510e-08   6.143058e-03   3.701807e-10   22676
  1.137419e+00   5.346686e-08   6.080031e-03   3.448163e-10   23322
  1.158587e+00   5.158823e-08   6.004237e-03   3.336945e-10   24134
  1.179798e+00   5.186954e-08   6.110138e-03   3.286931e-10   25146
  1.201046e+00   5.001396e-08   6.081360e-03   3.105374e-10   26030
  1.222182e+00   4.805165e-08   6.114836e-03   2.929457e-10   26674
  1.243551e+00   4.803608e-08   6.286155e-03   2.817710e-10   28570
  1.264758e+00   4.621810e-08   6.075227e-03   2.712291e-10   28224
  1.286040e+00   4.508908e-08   6.282287e-03   2.580330e-10   30626
  1.307328e+00   4.369006e-08   5.879262e-03   2.494509e-10   30158
  1.328284e+00   4.303769e-08   6.024736e-03   2.398416e-10   31674
  1.349598e+00   4.153901e-08   6.224699e-03   2.259432e-10   33306
  1.370804e+00   4.088645e-08   6.029685e-03   2.249572e-10   33422
  1.391996e+00   3.975224e-08   6.187433e-03   2.096354e-10   35298
  1.413516e+00   3.940850e-08   6.190576e-03   2.050792e-10   36650
  1.434849e+00   3.821905e-08   6.132054e-03   1.966073e-10   36992
  1.456166e+00   3.724341e-08   6.187840e-03   1.878815e-10   38730
  1.477491e+00   3.637839e-08   6.036172e-03   1.804032e-10   39246
  1.498685e+00   3.573762e-08   6.132601e-03   1.754668e-10   40466
  1.519774e+00   3.445350e-08   5.979066e-03   1.676758e-10   41170
  1.541026e+00   3.431375e-08   6.239150e-03   1.644172e-10   43534
  1.562331e+00   3.268120e-08   6.008969e-03   1.557365e-10   43650
  1.583461e+00   3.243180e-08   6.082793e-03   1.513102e-10   45272
  1.604869e+00   3.175398e-08   6.190904e-03   1.444962e-10   47098
  1.626231e+00   3.092736e-08   6.084210e-03   1.415841e-10   47746
  1.647437e+00   3.075366e-08   6.121942e-03   1.374282e-10   48870
  1.668537e+00   2.969554e-08   5.972512e-03   1.321704e-10   49682
  1.689593e+00   2.885730e-08   6.010296e-03   1.272294e-10   51222
