# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   3.514781e+00   9.900990e-03   5.696651e+00   0.000000e+00   0.000000e+00
      1   3.561656e+00   1.012801e-02   5.630626e+00   0.000000e+00   0.000000e+00
      2   3.608531e+00   1.035752e-02   5.566152e+00   0.000000e+00   0.000000e+00
      3   3.655406e+00   1.058954e-02   5.503174e+00   0.000000e+00   0.000000e+00
      4   3.702281e+00   1.082405e-02   5.441640e+00   0.000000e+00   0.000000e+00
      5   3.749156e+00   1.106107e-02   5.381499e+00   0.000000e+00   0.000000e+00
      6   3.796031e+00   1.130058e-02   5.322704e+00   0.000000e+00   0.000000e+00
      7   3.842906e+00   1.154260e-02   5.265209e+00   0.000000e+00   0.000000e+00
      8   3.889781e+00   1.178711e-02   5.208971e+00   0.000000e+00   0.000000e+00
      9   3.936656e+00   1.203413e-02   5.153947e+00   0.000000e+00   0.000000e+00
     10   3.983531e+00   1.228364e-02   5.100099e+00   0.000000e+00   0.000000e+00
     11   4.030406e+00   1.253566e-02   5.047388e+00   0.000000e+00   0.000000e+00
     12   4.077281e+00   1.279017e-02   4.995778e+00   0.000000e+00   0.000000e+00
     13   4.124156e+00   1.304719e-02   4.945235e+00   0.000000e+00   0.000000e+00
     14   4.171031e+00   1.330670e-02   4.895724e+00   0.000000e+00   0.000000e+00
     15   4.217906e+00   1.356872e-02   4.847215e+00   0.000000e+00   0.000000e+00
     16   4.264781e+00   1.383323e-02   4.799676e+00   0.000000e+00   0.000000e+00
     17   4.311656e+00   1.410024e-02   4.753078e+00   0.000000e+00   0.000000e+00
     18   4.358531e+00   1.436976e-02   4.707393e+00   0.000000e+00   0.000000e+00
     19   4.405406e+00   1.464177e-02   4.662594e+00   0.000000e+00   0.000000e+00
     20   4.452281e+00   1.491628e-02   4.618656e+00   0.000000e+00   0.000000e+00
     21   4.499156e+00   1.519330e-02   4.575552e+00   0.000000e+00   0.000000e+00
     22   4.546031e+00   1.547281e-02   4.533259e+00   0.000000e+00   0.000000e+00
     23   4.592906e+00   1.575482e-02   4.491755e+00   0.000000e+00   0.000000e+00
     24   4.639781e+00   1.603934e-02   4.451017e+00   0.000000e+00   0.000000e+00
     25   4.686656e+00   1.632635e-02   4.411023e+00   0.000000e+00   0.000000e+00
     26   4.733531e+00   1.661586e-02   4.371753e+00   0.000000e+00   0.000000e+00
     27   4.780406e+00   1.690788e-02   4.333188e+00   0.000000e+00   0.000000e+00
     28   4.827281e+00   1.720239e-02   4.295308e+00   0.000000e+00   0.000000e+00
     29   4.874156e+00   1.749940e-02   4.258095e+00   0.000000e+00   0.000000e+00
     30   4.921031e+00   1.779892e-02   4.221531e+00   0.000000e+00   0.000000e+00
