# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   7.029561e+00   9.900990e-03   5.696651e+00   0.000000e+00   0.000000e+00
      1   7.123311e+00   1.012801e-02   5.630626e+00   0.000000e+00   0.000000e+00
      2   7.217061e+00   1.035752e-02   5.566152e+00   0.000000e+00   0.000000e+00
      3   7.310811e+00   1.058954e-02   5.503174e+00   0.000000e+00   0.000000e+00
      4   7.404561e+00   1.082405e-02   5.441640e+00   0.000000e+00   0.000000e+00
      5   7.498311e+00   1.106107e-02   5.381499e+00   0.000000e+00   0.000000e+00
      6   7.592061e+00   1.130058e-02   5.322704e+00   0.000000e+00   0.000000e+00
      7   7.685811e+00   1.154260e-02   5.265209e+00   0.000000e+00   0.000000e+00
      8   7.779561e+00   1.178711e-02   5.208971e+00   0.000000e+00   0.000000e+00
      9   7.873311e+00   1.203413e-02   5.153947e+00   0.000000e+00   0.000000e+00
     10   7.967061e+00   1.228364e-02   5.100099e+00   0.000000e+00   0.000000e+00
     11   8.060811e+00   1.253566e-02   5.047388e+00   0.000000e+00   0.000000e+00
     12   8.154561e+00   1.279017e-02   4.995778e+00   0.000000e+00   0.000000e+00
     13   8.248311e+00   1.304719e-02   4.945235e+00   0.000000e+00   0.000000e+00
     14   8.342061e+00   1.330670e-02   4.895724e+00   0.000000e+00   0.000000e+00
     15   8.435811e+00   1.356872e-02   4.847215e+00   0.000000e+00   0.000000e+00
     16   8.529561e+00   1.383323e-02   4.799676e+00   0.000000e+00   0.000000e+00
     17   8.623311e+00   1.410024e-02   4.753078e+00   0.000000e+00   0.000000e+00
     18   8.717061e+00   1.436976e-02   4.707393e+00   0.000000e+00   0.000000e+00
     19   8.810811e+00   1.464177e-02   4.662594e+00   0.000000e+00   0.000000e+00
     20   8.904561e+00   1.491628e-02   4.618656e+00   0.000000e+00   0.000000e+00
     21   8.998311e+00   1.519330e-02   4.575552e+00   0.000000e+00   0.000000e+00
     22   9.092061e+00   1.547281e-02   4.533259e+00   0.000000e+00   0.000000e+00
     23   9.185811e+00   1.575482e-02   4.491755e+00   0.000000e+00   0.000000e+00
     24   9.279561e+00   1.603934e-02   4.451017e+00   0.000000e+00   0.000000e+00
     25   9.373311e+00   1.632635e-02   4.411023e+00   0.000000e+00   0.000000e+00
     26   9.467061e+00   1.661586e-02   4.371753e+00   0.000000e+00   0.000000e+00
